,MTTR
% Above Low,0.2481
% Held by Institutions,0.3997
52-Wk Range,['2.62 - 37.60']
Annual Dividend $,
Annual Dividend %,
Ask,3.2
Ask Size,4000.0
Ask close,3.95
B/A Ratio,0.05
B/A Size,200x4000
Beta,
Bid,3.19
Bid Size,200.0
Bid close,2.49
Change Since Close,-0.03| |(-0.92%)
Closing Price,3.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.86
Ex-dividend Date,No dividend
Historical Volatility,0.937
Last (size),513.0
Last (time),1:00p ET 11/25/22
Last Trade,3.24
Market Cap,939.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.27
Short Interest,0.0839
Today's Open,
Volume,3033.0
Volume 10-day Avg,5035022.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.6153846153846152
Growth 1yr High Est,1.1578947368421053
Growth 1yr Consensus Est,0.8866396761133603
Growth 2yr Low Est,0.33150183150183143
Growth 2yr High Est,0.5057766367137355
Growth 2yr Consensus Est,0.4186392341077835
Growth 5yr Low Est,0.33150183150183143
Growth 5yr High Est,0.5057766367137355
Growth 5yr Consensus Est,0.4186392341077835
Growth 5yr Actual/Est,0.3773291925465838
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),7.69995
Price/Book (MRQ),1.55131
Price/Cash Flow (TTM),
5yr Low,2.62
5yr High,37.6
5yr Avg Return,0.04310000000000002
Short Int Current Month,23098744.0
Short Int Prev Month,25882721.0
Short Int Pct of Float,0.083939
Days to Cover,3.96077
Float,276.0815
Shares Outstanding,287.4435
Institutions Holding Shares,260.0
FCF Growth 5yr,0.5198500040759763
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.41990000000000005
Operating Profit Margin (TTM),-2.5263999999999998
Net Profit Margin (TTM),-1.7365000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1082
EPS Growth (TTM),0.24800000000000003
Revenue Growth (MRQ),0.334
Revenue Growth (TTM),0.13369999999999999
Return On Equity (TTM),-0.5224
Return On Assets (TTM),-0.32270000000000004
Return On Investment (TTM),-0.3411
Revenue Per Employee (TTM),251693.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),11.27
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-11-18 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
