,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,37.6,21.2,,,,,
low,10.45,2.62,,,,,
change,0.9308,-0.8445999999999999,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,140.0,93.0,114.0,82.0,Balance Sheet
Short Term Investments,,,265.0,309.0,362.0,406.0,Balance Sheet
Cash and Short Term Invs,,,404.0,402.0,476.0,487.0,Balance Sheet
"Trade Accts Recvble, Gross",,,11.0,16.0,15.0,20.0,Balance Sheet
Prov. for Doubtful Accts,,,0.0,0.0,0.0,-1.0,Balance Sheet
"Total Receivables, Net",,,11.0,15.0,15.0,20.0,Balance Sheet
Invent. - Finished Goods,,,0.0,1.0,0.0,2.0,Balance Sheet
Invent. - Work In Progress,,,2.0,2.0,3.0,6.0,Balance Sheet
Invent. - Raw Materials,,,3.0,2.0,3.0,4.0,Balance Sheet
Total Inventory,,,6.0,5.0,6.0,12.0,Balance Sheet
Prepaid Expenses,,,16.0,14.0,15.0,17.0,Balance Sheet
"Other Curr. Assets, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,438.0,436.0,513.0,536.0,Balance Sheet
Buildings,,,1.0,1.0,1.0,1.0,Balance Sheet
Machinery/Equipment,,,31.0,41.0,48.0,54.0,Balance Sheet
Other Prop./Plant/Equip.,,,0.0,4.0,3.0,3.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,32.0,46.0,52.0,58.0,Balance Sheet
Accumulated Depreciation,,,-18.0,-20.0,-23.0,-27.0,Balance Sheet
Prop./Plant/Equip. - Net,,,14.0,25.0,29.0,31.0,Balance Sheet
"Goodwill, Net",,,,54.0,54.0,70.0,Balance Sheet
Intangibles - Gross,,,,5.0,5.0,12.0,Balance Sheet
Accum. Intangible Amort.,,,,0.0,-1.0,-1.0,Balance Sheet
Intangibles - Net,,,,5.0,5.0,11.0,Balance Sheet
Long Term Investments,,,264.0,198.0,86.0,8.0,Balance Sheet
Other Long Term Assets,,,4.0,3.0,3.0,5.0,Balance Sheet
Total Assets,,,719.0,722.0,690.0,660.0,Balance Sheet
Accounts Payable,,,12.0,13.0,15.0,9.0,Balance Sheet
Accrued Expenses,,,3.0,6.0,7.0,8.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,,,,Balance Sheet
Customer Advances,,,11.0,14.0,14.0,15.0,Balance Sheet
Income Taxes Payable,,,1.0,2.0,2.0,1.0,Balance Sheet
Other Payables,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,6.0,14.0,13.0,13.0,Balance Sheet
"Other Curr. Lblts, Total",,,18.0,30.0,29.0,29.0,Balance Sheet
Total Current Liabilities,,,33.0,49.0,50.0,47.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,418.0,13.0,8.0,8.0,Balance Sheet
Total Liabilities,,,451.0,62.0,58.0,55.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,738.0,1062.0,1100.0,1132.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-468.0,-396.0,-461.0,-519.0,Balance Sheet
Unrealized Gain (Loss),,,-1.0,-6.0,-8.0,-8.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,268.0,660.0,631.0,606.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,719.0,722.0,690.0,660.0,Balance Sheet
Ttl Comm. Shares Outs.,,,250.0,281.0,284.0,287.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,27087.0,28510.0,28481.0,37993.0,Income Statement
"Cost of Revenue, Total",,,15839.0,16601.0,16768.0,21602.0,Income Statement
Selling/Gen/Admin Expense,,,26245.0,26924.0,30968.0,29362.0,Income Statement
Labor & Related Expense,,,47803.0,40525.0,22917.0,22231.0,Income Statement
Advertising Expense,,,4700.0,3400.0,5500.0,4700.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,78748.0,70849.0,59385.0,56293.0,Income Statement
Research & Development,,,27780.0,26002.0,21518.0,19084.0,Income Statement
Total Operating Expense,,,122367.0,113452.0,97671.0,96979.0,Income Statement
Total Operating Income,,,-95280.0,-84942.0,-69190.0,-58986.0,Income Statement
"Inter Expse,Net Non-Operat",,,0.0,0.0,0.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,1239.0,1295.0,1484.0,1691.0,Income Statement
OtherNon-OperatInc (Expnse),,,-67239.0,156155.0,3361.0,-981.0,Income Statement
"Other, Net",,,-67239.0,156155.0,3361.0,-981.0,Income Statement
Income Before Tax,,,-161280.0,72508.0,-64345.0,-58276.0,Income Statement
Income Tax - Total,,,-290.0,604.0,289.0,-17.0,Income Statement
Income After Tax,,,-160990.0,71904.0,-64634.0,-58259.0,Income Statement
