,MTTR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),7.7,9.39,Valuation,0.820021299254526
Price/Book (MRQ),1.55,12.63,Valuation,0.1227236737925574
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.41990000000000005,0.7206,Profitability,0.5827088537330003
Operating Profit Margin (TTM),-2.5263999999999998,0.2172,Profitability,-11.631675874769796
Net Profit Margin (TTM),-1.7365000000000002,0.1553,Profitability,-11.181584030907922
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.1082,-0.0752,Gowth rates,-1.4388297872340425
EPS Growth (TTM),0.24800000000000003,-0.2824,Gowth rates,-0.8781869688385271
Revenue Growth (MRQ),0.334,0.15560000000000002,Gowth rates,2.146529562982005
Revenue Growth (TTM),0.13369999999999999,0.1906,Gowth rates,0.7014690451206715
Return On Equity (TTM),-0.5224,0.2189,Effectiveness,-2.3864778437642755
Return On Assets (TTM),-0.32270000000000004,0.10740000000000001,Effectiveness,-3.0046554934823093
Return On Investment (TTM),-0.3411,0.1387,Effectiveness,-2.4592645998558043
Revenue Per Employee (TTM),251693.0,667721.0,Effectiveness,0.37694336406972373
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),11.27,1.0,Financial strength,11.27
Interest Coverage (MRQ),,0.28,Financial strength,
