,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.81,18.23,,,,,
low,15.25,4.92,,,,,
change,-0.429,-0.48460000000000003,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,285.0,508.0,454.0,455.0,Balance Sheet
Short Term Investments,,,231.0,83.0,62.0,0.0,Balance Sheet
Cash and Short Term Invs,,,517.0,591.0,515.0,455.0,Balance Sheet
"Trade Accts Recvble, Net",,,0.0,0.0,0.0,0.0,Balance Sheet
Other Receivables,,,9.0,11.0,12.0,12.0,Balance Sheet
"Total Receivables, Net",,,9.0,11.0,12.0,12.0,Balance Sheet
Restricted Cash - Current,,,2.0,2.0,2.0,2.0,Balance Sheet
Other Current Assets,,,8.0,15.0,17.0,13.0,Balance Sheet
"Other Curr. Assets, Total",,,9.0,17.0,19.0,15.0,Balance Sheet
Total Current Assets,,,535.0,619.0,546.0,482.0,Balance Sheet
Buildings,,,14.0,14.0,14.0,14.0,Balance Sheet
Machinery/Equipment,,,53.0,56.0,60.0,63.0,Balance Sheet
Construction in Progress,,,16.0,22.0,31.0,36.0,Balance Sheet
Other Prop./Plant/Equip.,,,,33.0,35.0,34.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,83.0,125.0,140.0,147.0,Balance Sheet
Accumulated Depreciation,,,-19.0,-21.0,-24.0,-27.0,Balance Sheet
Prop./Plant/Equip. - Net,,,65.0,104.0,116.0,120.0,Balance Sheet
"Goodwill, Net",,,1.0,1.0,1.0,1.0,Balance Sheet
Intangibles - Net,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Long Term Assets,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Assets,,,610.0,734.0,673.0,612.0,Balance Sheet
Accounts Payable,,,3.0,4.0,3.0,4.0,Balance Sheet
Accrued Expenses,,,34.0,27.0,30.0,32.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,10.0,54.0,64.0,47.0,Balance Sheet
Total Current Liabilities,,,47.0,86.0,97.0,83.0,Balance Sheet
Total Long Term Debt,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Debt,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Liabilities, Total",,,20.0,154.0,138.0,140.0,Balance Sheet
Total Liabilities,,,67.0,241.0,235.0,223.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,,,,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,943.0,950.0,959.0,970.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-400.0,-456.0,-522.0,-582.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,543.0,494.0,438.0,388.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,610.0,734.0,673.0,612.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,161.0,162.0,165.0,166.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,9.0,9.0,8.0,8.0,Balance Sheet
Ttl Comm. Shares Outs.,,,170.0,171.0,173.0,174.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,2533.0,5333.0,7674.0,13160.0,Income Statement
"Cost of Revenue, Total",,,,7799.0,14227.0,15409.0,Income Statement
Selling/Gen/Admin Expense,,,19201.0,17713.0,15473.0,15241.0,Income Statement
Labor & Related Expense,,,2218.0,3361.0,2926.0,4247.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,21419.0,21074.0,18399.0,19488.0,Income Statement
Research & Development,,,45998.0,32365.0,38363.0,40760.0,Income Statement
Depreciation/Amortization,,,76.0,76.0,76.0,76.0,Income Statement
Impair-Assets Held for Use,,,,,2800.0,0.0,Income Statement
Other Unusual Expnse (In),,,0.0,,,,Income Statement
Unusual Expense (Income),,,0.0,,2800.0,0.0,Income Statement
Total Operating Expense,,,67493.0,61314.0,73865.0,75733.0,Income Statement
Total Operating Income,,,-64960.0,-55981.0,-66191.0,-62573.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-14.0,-14.0,-13.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,87.0,652.0,1833.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,-2.0,,,,Income Statement
"Other, Net",,,29.0,-71.0,-7.0,308.0,Income Statement
Income Before Tax,,,-64933.0,-55979.0,-65560.0,-60445.0,Income Statement
Income After Tax,,,-64933.0,-55979.0,-65560.0,-60445.0,Income Statement
Net Inc Before Extra Items,,,-64933.0,-55979.0,-65560.0,-60445.0,Income Statement
Total Net Income,,,-64933.0,-55979.0,-65560.0,-60445.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-64933.0,-55979.0,-65560.0,-60445.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-64933.0,-55979.0,-65560.0,-60445.0,Income Statement
Basic/Primary Weighted Average Shares,,,169853.0,170690.0,172212.0,173436.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.38,-0.33,-0.38,-0.35,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.38,-0.33,-0.38,-0.35,Income Statement
Diluted Weighted Average Shares,,,169853.0,170690.0,172212.0,173436.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.38,-0.33,-0.38,-0.35,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.38,-0.33,-0.38,-0.35,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,,14.0,14.0,13.0,Income Statement
"Depreciat/Amort, Suppl",,,2500.0,2767.0,2786.0,2989.0,Income Statement
Total Special Items,,,0.0,,2800.0,0.0,Income Statement
Normalzd Income Before Tax,,,-64933.0,-55979.0,-62760.0,-60445.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,0.0,,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,0.0,,0.0,0.0,Income Statement
Normalized Income After Tax,,,-64933.0,-55979.0,-62760.0,-60445.0,Income Statement
Normalzd Inc Avail to Common,,,-64933.0,-55979.0,-62760.0,-60445.0,Income Statement
Basic Normalized EPS,,,-0.38,-0.33,-0.36,-0.35,Income Statement
Diluted Normalized EPS,,,-0.38,-0.33,-0.36,-0.35,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-186479.0,-55979.0,-121539.0,-181984.0,Cash Flow
