,RXRX
% Above Low,0.8018000000000001
% Held by Institutions,0.7901
52-Wk Range,['4.92 - 21.19']
Annual Dividend $,
Annual Dividend %,
Ask,8.88
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,8.85
Bid Size,100.0
Day Change $,-0.395
Day Change %,-0.042699999999999995
Day High,9.32
Day Low,8.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.44
Ex-dividend Date,No dividend
Historical Volatility,0.937
Last (size),100.0
Last (time),1:27p ET 11/28/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.26
Price,8.87
Short Interest,0.08839999999999999
Today's Open,9.16
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.029940119760479167
Growth 2yr High Est,-0.12389380530973448
Growth 2yr Consensus Est,-0.04697684277462766
Growth 5yr Low Est,0.029940119760479167
Growth 5yr High Est,-0.12389380530973448
Growth 5yr Consensus Est,-0.04697684277462766
Growth 5yr Actual/Est,-0.008772770853307743
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),61.1598
Price/Book (MRQ),4.15406
Price/Cash Flow (TTM),
5yr Low,4.92
5yr High,42.81
5yr Avg Return,-0.4568
Short Int Current Month,14917334.0
Short Int Prev Month,15800615.0
Short Int Pct of Float,0.0883826
Days to Cover,12.35478
Float,160.9705
Shares Outstanding,189.5558
Institutions Holding Shares,202.0
FCF Growth 5yr,3.331399079495416
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.3926
Operating Profit Margin (TTM),-8.7005
Net Profit Margin (TTM),-8.6034
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.08449999999999999
EPS Growth (TTM),
Revenue Growth (MRQ),0.7149
Revenue Growth (TTM),
Return On Equity (TTM),-0.5003
Return On Assets (TTM),-0.38880000000000003
Return On Investment (TTM),-0.4316
Revenue Per Employee (TTM),71750.0
Total Debt/Total Capital (MRQ),0.0017000000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-24 00:00:00
theStreet since,2022-05-24 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
