,RXRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),61.16,45.03,Valuation,1.3582056406839884
Price/Book (MRQ),4.15,12.61,Valuation,0.3291038858049168
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),-0.3926,0.5874,Profitability,-0.6683690840994212
Operating Profit Margin (TTM),-8.7005,-4.7459,Profitability,1.8332666090730947
Net Profit Margin (TTM),-8.6034,-4.5467,Profitability,1.892229529109024
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.08449999999999999,-0.0014000000000000002,Gowth rates,-60.35714285714284
EPS Growth (TTM),,0.027200000000000002,Gowth rates,
Revenue Growth (MRQ),0.7149,1.3963999999999999,Gowth rates,0.5119593239759381
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.5003,0.1967,Effectiveness,-2.543467208947636
Return On Assets (TTM),-0.38880000000000003,0.0016,Effectiveness,-243.0
Return On Investment (TTM),-0.4316,0.0219,Effectiveness,-19.707762557077626
Revenue Per Employee (TTM),71750.0,1476201.0,Effectiveness,0.04860449220668459
Total Debt/Total Capital (MRQ),0.0017000000000000001,0.4675,Financial strength,0.0036363636363636364
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0036,Financial strength,-0.1388888888888889
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
