,SEIC
% Below High,0.0342
% Held by Institutions,0.7071
52-Wk Range,['46.30 - 64.29']
Annual Dividend $,0.8
Annual Dividend %,0.0128
Ask,62.16
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.0
Bid,62.09
Bid Size,100.0
Day Change $,-0.47
Day Change %,-0.0075
Day High,62.67
Day Low,62.07
Dividend Pay Date,2022-06-22 00:00:00
"EPS (TTM, GAAP)",3.65
Ex-dividend,2022-06-10 00:00:00
Ex-dividend Date,06/10/22
Historical Volatility,0.272
Last (size),200.0
Last (time),1:57p ET 11/28/22
Market Cap,8.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.14
Prev Close,62.56
Price,62.09
Short Interest,0.0208
Today's Open,62.12
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.0884718498659518
Growth 1yr High Est,-0.01058201058201047
Growth 1yr Consensus Est,-0.049526930223981136
Growth 2yr Low Est,-0.06335357199179942
Growth 2yr High Est,0.0013934866876044172
Growth 2yr Consensus Est,-0.0309800426520975
Growth 5yr Low Est,0.01957679999647216
Growth 5yr High Est,0.04276051817234053
Growth 5yr Consensus Est,0.031168659084406344
Growth 5yr Actual/Est,0.028700438531620964
Growth 3yr Historic,0.04898148148148146
Price/Earnings (TTM),17.13944
Price/Sales (TTM),4.14267
Price/Book (MRQ),4.36929
Price/Cash Flow (TTM),14.03461
5yr Low,35.41
5yr High,78.35
5yr Avg Return,0.011150000000000004
EPS Growth 5yr,0.134414
Revenue Growth 5yr,0.0647859
Dividend Growth 5yr,0.0650441
Short Int Current Month,2301308.0
Short Int Prev Month,2831822.0
Short Int Pct of Float,0.0208429
Days to Cover,4.24934
Float,110.5123
Shares Outstanding,134.8285
Institutions Holding Shares,599.0
FCF Growth 5yr,-0.03652399251607844
"Price/Earnings (TTM, GAAP)",17.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8461
Operating Profit Margin (TTM),0.2579
Net Profit Margin (TTM),0.24980000000000002
Annual Dividend Yield,0.0128
Dividend Change %,0.0571
"Dividend Growth Rate, 3 Years",0.0724
EPS Growth (MRQ),-0.4399
EPS Growth (TTM),0.0002
Revenue Growth (MRQ),-0.0215
Revenue Growth (TTM),0.0945
Return On Equity (TTM),0.2699
Return On Assets (TTM),0.2267
Return On Investment (TTM),0.2604
Revenue Per Employee (TTM),465820.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
