,RRC
% Below High,0.23989999999999997
% Held by Institutions,0.887
52-Wk Range,['16.71 - 37.44']
Annual Dividend $,0.32
Annual Dividend %,0.0108
Ask,28.46
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,28.45
Bid Size,200.0
Day Change $,-1.16
Day Change %,-0.0392
Day High,28.88
Day Low,28.3
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",4.74
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.622
Last (size),1.0
Last (time),1:16p ET 11/28/22
Market Cap,6.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.25
Prev Close,29.62
Price,28.46
Short Interest,0.0458
Today's Open,28.46
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,1.7758620689655173
Growth 1yr High Est,1.4612068965517242
Growth 1yr Consensus Est,1.6185344827586208
Growth 2yr Low Est,0.7316163346897979
Growth 2yr High Est,0.8024073011655294
Growth 2yr Consensus Est,0.7670118179276637
Growth 5yr Low Est,0.7316163346897979
Growth 5yr High Est,0.8024073011655294
Growth 5yr Consensus Est,0.7670118179276637
Growth 5yr Actual/Est,-5.778984342399758
Growth 3yr Historic,-6.167361111111112
Price/Earnings (TTM),6.24659
Price/Sales (TTM),1.32287
Price/Book (MRQ),3.31708
Price/Cash Flow (TTM),4.44809
5yr Low,1.61
5yr High,37.44
5yr Avg Return,0.26389999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.2133737
Dividend Growth 5yr,
Short Int Current Month,10729539.0
Short Int Prev Month,10335164.0
Short Int Pct of Float,0.0458054
Days to Cover,2.97848
Float,234.2347
Shares Outstanding,241.6351
Institutions Holding Shares,489.0
FCF Growth 5yr,0.40410848143637895
"Price/Earnings (TTM, GAAP)",6.25
"PEG Ratio (TTM, GAAP)",0.18
Gross Profit Margin (TTM),0.8962000000000001
Operating Profit Margin (TTM),0.5243
Net Profit Margin (TTM),0.233
Annual Dividend Yield,0.0108
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1754
EPS Growth (TTM),3.2601
Revenue Growth (MRQ),0.0704
Revenue Growth (TTM),0.9074
Return On Equity (TTM),0.7418000000000001
Return On Assets (TTM),0.1906
Return On Investment (TTM),0.2657
Revenue Per Employee (TTM),10266370.0
Total Debt/Total Capital (MRQ),0.5217
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.9
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-07-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
