,CXW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.52,49.52,Valuation,0.23263327948303714
Price/Sales (TTM),1.52,4.95,Valuation,0.30707070707070705
Price/Book (MRQ),1.0,8.39,Valuation,0.11918951132300357
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.2445,0.3995,Profitability,0.6120150187734668
Operating Profit Margin (TTM),0.0925,-0.031400000000000004,Profitability,-2.9458598726114644
Net Profit Margin (TTM),0.06820000000000001,-0.042300000000000004,Profitability,-1.612293144208038
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),5.6829,0.2798,Gowth rates,20.310578984989277
EPS Growth (TTM),2.1794000000000002,0.017,Gowth rates,128.20000000000002
Revenue Growth (MRQ),0.0165,6.526000000000001,Gowth rates,0.0025283481458780264
Revenue Growth (TTM),-0.0096,0.4152,Gowth rates,-0.023121387283236993
Return On Equity (TTM),0.0919,0.24,Effectiveness,0.3829166666666667
Return On Assets (TTM),0.0365,0.08750000000000001,Effectiveness,0.4171428571428571
Return On Investment (TTM),0.0417,0.11080000000000001,Effectiveness,0.3763537906137184
Revenue Per Employee (TTM),178395.0,300327.0,Effectiveness,0.5940025372344145
Total Debt/Total Capital (MRQ),0.47950000000000004,0.4451,Financial strength,1.0772860031453606
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0070999999999999995,Financial strength,-0.16901408450704225
Quick Ratio (MRQ),,1.37,Financial strength,
Interest Coverage (MRQ),1.63,18.65,Financial strength,0.08739946380697051
