,R
% Below High,0.029300000000000003
% Held by Institutions,0.8293
52-Wk Range,['61.71 - 97.26']
Annual Dividend $,2.48
Annual Dividend %,0.0258
Ask,94.48
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,94.41
Bid Size,100.0
Day Change $,-1.63
Day Change %,-0.017
Day High,95.9
Day Low,94.37
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",16.25
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.413
Last (size),100.0
Last (time),12:12p ET 11/28/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.91
Prev Close,96.05
Price,94.42
Short Interest,0.0424
Today's Open,95.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,14.192307692307692
Growth 1yr High Est,13.863636363636363
Growth 1yr Consensus Est,14.027972027972027
Growth 2yr Low Est,6.892989289191821
Growth 2yr High Est,6.783500139004726
Growth 2yr Consensus Est,6.838244714098273
Growth 5yr Low Est,3.4464946445959104
Growth 5yr High Est,3.391750069502363
Growth 5yr Consensus Est,3.4191223570491363
Growth 5yr Actual/Est,-9.350283295265132
Growth 3yr Historic,-9.437202053538687
Price/Earnings (TTM),5.90925
Price/Sales (TTM),0.41887
Price/Book (MRQ),1.60312
Price/Cash Flow (TTM),1.86559
5yr Low,22.62
5yr High,97.26
5yr Avg Return,0.06008333333333333
EPS Growth 5yr,0.1438453
Revenue Growth 5yr,0.07412930000000001
Dividend Growth 5yr,0.0604671
Short Int Current Month,2106166.0
Short Int Prev Month,1770115.0
Short Int Pct of Float,0.0423887
Days to Cover,3.155
Float,49.79789
Shares Outstanding,50.25109
Institutions Holding Shares,461.0
FCF Growth 5yr,-0.4351299719388315
"Price/Earnings (TTM, GAAP)",5.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44270000000000004
Operating Profit Margin (TTM),0.0763
Net Profit Margin (TTM),0.0733
EPS Growth (MRQ),0.025099999999999997
EPS Growth (TTM),1.3902
Revenue Growth (MRQ),0.0006
Revenue Growth (TTM),0.24230000000000002
Total Debt/Total Capital (MRQ),0.6778000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),4.58
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-04-29 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
