,NRDY
% Above Low,0.35850000000000004
% Held by Institutions,0.6288
52-Wk Range,['1.59 - 6.53']
Annual Dividend $,
Annual Dividend %,
Ask,2.3
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,
Bid,2.16
Bid Size,900.0
Change Since Close,0.07| |(3.24%)
Closing Price,2.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.1
Ex-dividend Date,No dividend
Historical Volatility,0.927
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,2.23
Market Cap,201.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.16
Short Interest,0.09029999999999999
Today's Open,
Volume,3.0
Volume 10-day Avg,690668.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.1333333333333333
Growth 1yr High Est,0.7333333333333334
Growth 1yr Consensus Est,0.30000000000000004
Growth 2yr Low Est,-0.05705128205128207
Growth 2yr High Est,-0.0756410256410256
Growth 2yr Consensus Est,-0.06634615384615383
Growth 5yr Low Est,-0.05705128205128207
Growth 5yr High Est,-0.0756410256410256
Growth 5yr Consensus Est,-0.06634615384615383
Growth 5yr Actual/Est,-0.11585365853658536
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.15436
Price/Book (MRQ),7.28206
Price/Cash Flow (TTM),
5yr Low,1.59
5yr High,13.49
5yr Avg Return,-0.3232
Short Int Current Month,5237304.0
Short Int Prev Month,6029740.0
Short Int Pct of Float,0.0903046
Days to Cover,12.28742
Float,71.13766
Shares Outstanding,162.4526
Institutions Holding Shares,96.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6883
Operating Profit Margin (TTM),-0.5952000000000001
Net Profit Margin (TTM),-0.0962
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.1510000000000002
EPS Growth (TTM),0.8871
Revenue Growth (MRQ),-0.24730000000000002
Revenue Growth (TTM),0.6511
Return On Equity (TTM),-0.21739999999999998
Return On Assets (TTM),-0.083
Return On Investment (TTM),-0.15410000000000001
Revenue Per Employee (TTM),162878.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-6.13
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
