,NRDY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-674.43,Valuation,
Price/Sales (TTM),2.15,3.81,Valuation,0.5643044619422571
Price/Book (MRQ),7.28,2.94,Valuation,2.4761904761904763
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.6883,0.30350000000000005,Profitability,2.2678747940691926
Operating Profit Margin (TTM),-0.5952000000000001,0.047,Profitability,-12.663829787234043
Net Profit Margin (TTM),-0.0962,0.024900000000000002,Profitability,-3.863453815261044
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-3.1510000000000002,-8.9082,Gowth rates,0.3537190453739251
EPS Growth (TTM),0.8871,1.3234000000000001,Gowth rates,0.6703188756233942
Revenue Growth (MRQ),-0.24730000000000002,0.0315,Gowth rates,-7.850793650793651
Revenue Growth (TTM),0.6511,0.1202,Gowth rates,5.416805324459235
Return On Equity (TTM),-0.21739999999999998,0.0073,Effectiveness,-29.780821917808215
Return On Assets (TTM),-0.083,-0.0022,Effectiveness,37.72727272727273
Return On Investment (TTM),-0.15410000000000001,0.005699999999999999,Effectiveness,-27.03508771929825
Revenue Per Employee (TTM),162878.0,227358.0,Effectiveness,0.7163944088178116
Total Debt/Total Capital (MRQ),0.0,0.5721,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.001,Financial strength,
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),-6.13,2.57,Financial strength,-2.385214007782101
