,TXG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),8.14,6.06,Valuation,1.3432343234323434
Price/Book (MRQ),5.29,6.22,Valuation,0.8504823151125402
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.7793000000000001,0.5095000000000001,Profitability,1.5295387634936213
Operating Profit Margin (TTM),-0.319,0.0332,Profitability,-9.608433734939759
Net Profit Margin (TTM),-0.332,-0.0454,Profitability,7.312775330396476
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.3528,-0.5094,Gowth rates,-0.6925795053003534
EPS Growth (TTM),0.6513,-0.2377,Gowth rates,-2.7400084139671854
Revenue Growth (MRQ),0.1436,0.1691,Gowth rates,0.8492016558249557
Revenue Growth (TTM),0.09699999999999999,0.1222,Gowth rates,0.7937806873977086
Return On Equity (TTM),-0.2122,1.1042,Effectiveness,-0.19217533055605868
Return On Assets (TTM),-0.16829999999999998,0.0644,Effectiveness,-2.6133540372670803
Return On Investment (TTM),-0.19010000000000002,0.0802,Effectiveness,-2.370324189526185
Revenue Per Employee (TTM),406543.0,335561.0,Effectiveness,1.2115323294423368
Total Debt/Total Capital (MRQ),0.0,0.3893,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),4.34,1.51,Financial strength,2.8741721854304636
Interest Coverage (MRQ),,33.07,Financial strength,
