,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,88.98,166.31,208.99,150.0,,,,,
low,45.11,48.78,128.15,23.81,,,,,
change,0.41200000000000003,0.8411,0.0519,-0.7664,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,587.0,312.0,274.0,234.0,Balance Sheet
Short Term Investments,,,,,,227.0,226.0,218.0,Balance Sheet
Cash and Short Term Invs,,,,,587.0,539.0,500.0,452.0,Balance Sheet
"Total Receivables, Net",,,,,85.0,77.0,76.0,84.0,Balance Sheet
Invent. - Finished Goods,,,,,14.0,15.0,21.0,19.0,Balance Sheet
Invent. - Work In Progress,,,,,14.0,15.0,22.0,26.0,Balance Sheet
Invent. - Raw Materials,,,,,32.0,34.0,28.0,33.0,Balance Sheet
Total Inventory,,,,,60.0,64.0,71.0,79.0,Balance Sheet
Prepaid Expenses,,,,,14.0,18.0,19.0,14.0,Balance Sheet
"Other Curr. Assets, Total",,,,,1.0,0.0,1.0,1.0,Balance Sheet
Total Current Assets,,,,,748.0,697.0,666.0,629.0,Balance Sheet
Buildings,,,,,68.0,,,,Balance Sheet
Land/Improvements,,,,,36.0,,,,Balance Sheet
Machinery/Equipment,,,,,56.0,,,,Balance Sheet
Construction in Progress,,,,,52.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,67.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,279.0,,,,Balance Sheet
Accumulated Depreciation,,,,,-49.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,230.0,266.0,296.0,329.0,Balance Sheet
"Goodwill, Net",,,,,5.0,5.0,5.0,5.0,Balance Sheet
Intangibles - Gross,,,,,30.0,,,,Balance Sheet
Accum. Intangible Amort.,,,,,-5.0,,,,Balance Sheet
Intangibles - Net,,,,,25.0,25.0,24.0,23.0,Balance Sheet
Other Long Term Assets,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,,1019.0,1003.0,1002.0,996.0,Balance Sheet
Accounts Payable,,,,,17.0,19.0,27.0,22.0,Balance Sheet
Accrued Expenses,,,,,76.0,60.0,76.0,85.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,6.0,6.0,7.0,8.0,Balance Sheet
Income Taxes Payable,,,,,5.0,2.0,1.0,3.0,Balance Sheet
Other Current Liabilities,,,,,6.0,7.0,6.0,9.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,17.0,16.0,15.0,20.0,Balance Sheet
Total Current Liabilities,,,,,110.0,94.0,118.0,127.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,91.0,102.0,100.0,94.0,Balance Sheet
Total Liabilities,,,,,201.0,197.0,218.0,220.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,,0.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1681.0,1715.0,1758.0,1793.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-863.0,-906.0,-970.0,-1012.0,Balance Sheet
"Other Equity, Total",,,,,0.0,-2.0,-4.0,-5.0,Balance Sheet
Total Equity,,,,,818.0,807.0,784.0,776.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,1019.0,1003.0,1002.0,996.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,93.0,94.0,95.0,96.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,20.0,19.0,19.0,19.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,113.0,113.0,114.0,114.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,143530.0,114496.0,114609.0,131072.0,Income Statement
"Cost of Revenue, Total",,,,,27598.0,25478.0,27704.0,30377.0,Income Statement
Selling/Gen/Admin Expense,,,,,55829.0,52933.0,60056.0,55644.0,Income Statement
Labor & Related Expense,,,,,14048.0,13742.0,19281.0,17757.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,69877.0,66675.0,79337.0,73401.0,Income Statement
Research & Development,,,,,61885.0,64078.0,70685.0,67290.0,Income Statement
Unusual Expense (Income),,,,,0.0,,,,Income Statement
Other Operating Expense,,,,,,0.0,,,Income Statement
"Other, Net",,,,,5.0,-400.0,-1843.0,-1950.0,Income Statement
"Other Operat Expse, Total",,,,,0.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,,159360.0,156231.0,177726.0,171068.0,Income Statement
Total Operating Income,,,,,-15830.0,-41735.0,-63117.0,-39996.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-217.0,-128.0,-109.0,-114.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,49.0,569.0,1238.0,2025.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,5.0,-400.0,-1843.0,-1950.0,Income Statement
Income Before Tax,,,,,-15993.0,-41694.0,-63831.0,-40035.0,Income Statement
Income Tax - Total,,,,,2456.0,719.0,627.0,1879.0,Income Statement
Income After Tax,,,,,-18449.0,-42413.0,-64458.0,-41914.0,Income Statement
Net Inc Before Extra Items,,,,,-18449.0,-42413.0,-64458.0,-41914.0,Income Statement
Total Net Income,,,,,-18449.0,-42413.0,-64458.0,-41914.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-18449.0,-42413.0,-64458.0,-41914.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-18449.0,-42413.0,-64458.0,-41914.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,111913.0,112966.0,113575.0,114112.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.16,-0.38,-0.57,-0.37,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.16,-0.38,-0.57,-0.37,Income Statement
Diluted Weighted Average Shares,,,,,111913.0,112966.0,113575.0,114112.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.16,-0.38,-0.57,-0.37,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.16,-0.38,-0.57,-0.37,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,217.0,128.0,109.0,114.0,Income Statement
"Depreciat/Amort, Suppl",,,,,5781.0,6191.0,6500.0,6156.0,Income Statement
Total Special Items,,,,,0.0,,,,Income Statement
Normalzd Income Before Tax,,,,,-15993.0,-41694.0,-63831.0,-40035.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,2456.0,719.0,627.0,1879.0,Income Statement
Normalized Income After Tax,,,,,-18449.0,-42413.0,-64458.0,-41914.0,Income Statement
Normalzd Inc Avail to Common,,,,,-18449.0,-42413.0,-64458.0,-41914.0,Income Statement
Basic Normalized EPS,,,,,-0.16,-0.38,-0.57,-0.37,Income Statement
Diluted Normalized EPS,,,,,-0.16,-0.38,-0.57,-0.37,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-58223.0,-42413.0,-106871.0,-148785.0,Cash Flow
Depreciation/Depletion,,,,,21118.0,6191.0,12691.0,18847.0,Cash Flow
Unusual Items,,,,,79.0,0.0,5.0,455.0,Cash Flow
Other Non-Cash Items,,,,,103098.0,28014.0,66543.0,102226.0,Cash Flow
Non-Cash Items,,,,,103177.0,28014.0,66548.0,102681.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,8660.0,2900.0,3319.0,3649.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,1222.0,841.0,841.0,841.0,Cash Flow
Accounts Receivable,,,,,-34041.0,8728.0,9025.0,1673.0,Cash Flow
Inventories,,,,,-30132.0,-3736.0,-11101.0,-19761.0,Cash Flow
Prepaid Expenses,,,,,-1053.0,-3873.0,-5348.0,-2457.0,Cash Flow
Other Assets,,,,,1045.0,157.0,115.0,411.0,Cash Flow
Accounts Payable,,,,,11084.0,2875.0,10262.0,6082.0,Cash Flow
Accrued Expenses,,,,,-31178.0,-17181.0,-15110.0,-4862.0,Cash Flow
Changes in Working Capital,,,,,-87445.0,-12594.0,-10133.0,-20072.0,Cash Flow
Total Cash from Operations,,,,,-21373.0,-20802.0,-37765.0,-47329.0,Cash Flow
Purchase of Fixed Assets,,,,,-101278.0,-28136.0,-55355.0,-91927.0,Cash Flow
Purchase/Acq of Intangibles,,,,,0.0,,,,Cash Flow
Capital Expenditures,,,,,-101278.0,-28136.0,-55355.0,-91927.0,Cash Flow
Acquisition of Business,,,,,-5451.0,0.0,0.0,-1500.0,Cash Flow
Sale/Maturity of Investment,,,,,,12907.0,41817.0,58583.0,Cash Flow
Purchase of Investments,,,,,,-242329.0,-271547.0,-282871.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-5451.0,-229422.0,-229730.0,-225788.0,Cash Flow
Total Cash from Investing,,,,,-106729.0,-257558.0,-285085.0,-317715.0,Cash Flow
Financing Cash Flow Items,,,,,-5028.0,-5409.0,-5409.0,-5409.0,Cash Flow
"Common Stock, Net",,,,,0.0,,,,Cash Flow
Options Exercised,,,,,40325.0,7826.0,14186.0,16225.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,40325.0,7826.0,14186.0,16225.0,Cash Flow
"Long Term Debt, Net",,,,,0.0,,,,Cash Flow
Total Debt Issued,,,,,0.0,,,,Cash Flow
Total Debt Reduction,,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,0.0,,,,Cash Flow
Total Cash From Financing,,,,,35297.0,2417.0,8777.0,10816.0,Cash Flow
Foreign Exchange Effects,,,,,234.0,-18.0,-210.0,-295.0,Cash Flow
Net Change in Cash,,,,,-92571.0,-275961.0,-314283.0,-354523.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,688644.0,596073.0,596073.0,596073.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,596073.0,320112.0,281790.0,241550.0,Cash Flow
"Depreciation, Supplemental",,,,,21118.0,6191.0,12691.0,18847.0,Cash Flow
Free Cash Flow,,,,,-122651.0,-48938.0,-93120.0,-139256.0,
FCF Growth,,,,,,-0.6009979535429797,0.9028158077567534,0.495446735395189,
