,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,41.17,71.92,48.91,,,,,
low,27.0,38.63,26.32,,,,,
change,0.44680000000000003,0.1576,-0.2027,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,329.0,130.0,93.0,73.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,242.0,233.0,219.0,214.0,Balance Sheet
Prov. for Doubtful Accts,,,,-7.0,-7.0,-9.0,-11.0,Balance Sheet
"Total Receivables, Net",,,,235.0,226.0,210.0,204.0,Balance Sheet
Prepaid Expenses,,,,51.0,59.0,52.0,50.0,Balance Sheet
Total Current Assets,,,,616.0,414.0,355.0,326.0,Balance Sheet
Buildings,,,,35.0,36.0,36.0,36.0,Balance Sheet
Land/Improvements,,,,3.0,3.0,3.0,3.0,Balance Sheet
Machinery/Equipment,,,,52.0,51.0,50.0,52.0,Balance Sheet
Other Prop./Plant/Equip.,,,,65.0,64.0,59.0,56.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,155.0,154.0,148.0,146.0,Balance Sheet
Accumulated Depreciation,,,,-72.0,-73.0,-73.0,-74.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,83.0,81.0,75.0,72.0,Balance Sheet
"Goodwill, Net",,,,1588.0,2218.0,2216.0,2193.0,Balance Sheet
Intangibles - Gross,,,,414.0,493.0,489.0,481.0,Balance Sheet
Accum. Intangible Amort.,,,,-168.0,-164.0,-172.0,-179.0,Balance Sheet
Intangibles - Net,,,,246.0,329.0,316.0,301.0,Balance Sheet
Long Term Investments,,,,6.0,9.0,11.0,22.0,Balance Sheet
Other Long Term Assets,,,,49.0,60.0,64.0,74.0,Balance Sheet
Total Assets,,,,2659.0,3158.0,3100.0,3041.0,Balance Sheet
Accounts Payable,,,,16.0,19.0,16.0,17.0,Balance Sheet
Accrued Expenses,,,,154.0,139.0,132.0,128.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,5.0,5.0,5.0,5.0,Balance Sheet
Customer Advances,,,,225.0,215.0,202.0,186.0,Balance Sheet
Income Taxes Payable,,,,7.0,5.0,12.0,8.0,Balance Sheet
Other Current Liabilities,,,,187.0,229.0,224.0,225.0,Balance Sheet
"Other Curr. Lblts, Total",,,,419.0,450.0,438.0,420.0,Balance Sheet
Total Current Liabilities,,,,594.0,613.0,591.0,569.0,Balance Sheet
Long Term Debt,,,,1431.0,1872.0,1826.0,1777.0,Balance Sheet
Capital Lease Obligations,,,,0.0,0.0,0.0,,Balance Sheet
Total Long Term Debt,,,,1431.0,1872.0,1826.0,1777.0,Balance Sheet
Total Debt,,,,1436.0,1877.0,1831.0,1782.0,Balance Sheet
Deferred Income Tax,,,,65.0,58.0,49.0,44.0,Balance Sheet
"Other Liabilities, Total",,,,160.0,158.0,136.0,132.0,Balance Sheet
Total Liabilities,,,,2250.0,2701.0,2603.0,2521.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,938.0,957.0,981.0,1005.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-440.0,-427.0,-398.0,-386.0,Balance Sheet
Cum. Trans. Adjustment,,,,-91.0,-74.0,-88.0,-101.0,Balance Sheet
Min. Pension Lblty Adj.,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Other Equity, Total",,,,-92.0,-75.0,-89.0,-102.0,Balance Sheet
Total Equity,,,,409.0,458.0,497.0,520.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,2659.0,3158.0,3100.0,3041.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,271.0,274.0,277.0,277.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,12.0,12.0,12.0,12.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,283.0,285.0,288.0,288.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,271630.0,275517.0,268285.0,268332.0,Income Statement
"Cost of Revenue, Total",,,,59567.0,55785.0,59694.0,59183.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,87277.0,97099.0,89650.0,83908.0,Income Statement
Research & Development,,,,63002.0,61273.0,64866.0,63827.0,Income Statement
Depreciation/Amortization,,,,8898.0,9906.0,10517.0,10446.0,Income Statement
Restructuring Charge,,,,5719.0,,,,Income Statement
Other Unusual Expnse (In),,,,0.0,,,,Income Statement
Unusual Expense (Income),,,,5719.0,,,,Income Statement
"Other Operat Expse, Total",,,,,-5138.0,-12159.0,-4576.0,Income Statement
Total Operating Expense,,,,224463.0,218925.0,212568.0,212788.0,Income Statement
Total Operating Income,,,,47167.0,56592.0,55717.0,55544.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-3953.0,-7124.0,-7704.0,-8491.0,Income Statement
"Inter Income, Non-Operating",,,,70.0,82.0,82.0,109.0,Income Statement
"Invest Income, Non-Operat",,,,1075.0,-3071.0,2689.0,-1199.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,1145.0,-2989.0,2771.0,-1090.0,Income Statement
Gain(Loss)on Sale of Assets,,,,,,0.0,0.0,Income Statement
