,BSY
% Above Low,0.4647
% Held by Institutions,0.3482
52-Wk Range,['26.32 - 50.96']
Annual Dividend $,0.12
Annual Dividend %,0.0031
Ask,38.72
Ask Size,100.0
B/A Ratio,55.0
B/A Size,5500x100
Beta,
Bid,38.31
Bid Size,5500.0
Closing Price,38.55
Day Change $,0.24
Day Change %,0.0063
Day High,38.73
Day Low,38.09
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",0.6
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.501
Last (size),261.0
Last (time),12:59p ET 11/25/22
Market Cap,11.1B
"P/E Ratio (TTM, GAAP)",64.69
Prev Close,38.31
Short Interest,0.0321
Today's Open,38.12
Volume,326653.0
Volume 10-day Avg,959702.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.306451612903226
Growth 1yr High Est,0.328125
Growth 1yr Consensus Est,0.317288306451613
Growth 2yr Low Est,0.1655714854639586
Growth 2yr High Est,0.22288602941176472
Growth 2yr Consensus Est,0.19422875743786167
Growth 5yr Low Est,0.11038099030930575
Growth 5yr High Est,0.1485906862745098
Growth 5yr Consensus Est,0.12948583829190777
Growth 5yr Actual/Est,0.1256282482872667
Growth 3yr Historic,0.109375
Price/Earnings (TTM),64.69423
Price/Sales (TTM),10.25827
Price/Book (MRQ),21.37356
Price/Cash Flow (TTM),42.20061
5yr Low,26.32
5yr High,71.92
5yr Avg Return,0.13390000000000002
Short Int Current Month,6990696.0
Short Int Prev Month,7124797.0
Short Int Pct of Float,0.0321098
Days to Cover,5.58764
Float,207.0683
Shares Outstanding,288.3927
Institutions Holding Shares,399.0
FCF Growth 5yr,0.13497102544721593
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",64.69
"PEG Ratio (TTM, GAAP)",11.55
Gross Profit Margin (TTM),0.7839
Operating Profit Margin (TTM),0.1984
Net Profit Margin (TTM),0.17800000000000002
Annual Dividend Yield,0.0031
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3264
EPS Growth (TTM),0.7632
Revenue Growth (MRQ),0.0002
Revenue Growth (TTM),0.182
Return On Equity (TTM),0.4236
Return On Assets (TTM),0.0702
Return On Investment (TTM),0.0882
Revenue Per Employee (TTM),234277.0
Total Debt/Total Capital (MRQ),0.774
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.03
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-08-15 00:00:00
ford since,2022-04-01 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-08-15 00:00:00
marketEdge opinion since,
