,BSY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",64.69,54.08,Valuation,1.1961908284023668
Price/Sales (TTM),10.26,9.39,Valuation,1.0926517571884984
Price/Book (MRQ),21.37,12.63,Valuation,1.6920031670625495
"PEG Ratio (TTM, GAAP)",11.55,1.92,Valuation,6.015625000000001
Gross Profit Margin (TTM),0.7839,0.7206,Profitability,1.0878434637801833
Operating Profit Margin (TTM),0.1984,0.2172,Profitability,0.9134438305709024
Net Profit Margin (TTM),0.17800000000000002,0.1553,Profitability,1.1461687057308436
Annual Dividend Yield,0.0031,0.006999999999999999,Dividend,0.4428571428571429
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.3264,-0.0752,Gowth rates,4.340425531914894
EPS Growth (TTM),0.7632,-0.2824,Gowth rates,-2.7025495750708215
Revenue Growth (MRQ),0.0002,0.15560000000000002,Gowth rates,0.0012853470437017994
Revenue Growth (TTM),0.182,0.1906,Gowth rates,0.9548793284365162
Return On Equity (TTM),0.4236,0.2189,Effectiveness,1.935130196436729
Return On Assets (TTM),0.0702,0.10740000000000001,Effectiveness,0.653631284916201
Return On Investment (TTM),0.0882,0.1387,Effectiveness,0.6359048305695747
Revenue Per Employee (TTM),234277.0,667721.0,Effectiveness,0.3508606139390554
Total Debt/Total Capital (MRQ),0.774,0.39659999999999995,Financial strength,1.9515885022692891
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0004,Financial strength,2.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),6.03,0.28,Financial strength,21.535714285714285
