,GERN
% Below High,0.27449999999999997
% Held by Institutions,0.4964
52-Wk Range,['0.9899 - 3.06']
Annual Dividend $,
Annual Dividend %,
Ask,2.23
Ask Size,200.0
B/A Ratio,10.5
B/A Size,2100x200
Beta,0.8
Bid,2.22
Bid Size,2100.0
Closing Price,2.22
Day Change $,0.02
Day Change %,0.0091
Day High,2.24
Day Low,2.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.8079999999999999
Last (size),1300.0
Last (time),1:00p ET 11/25/22
Market Cap,846.3M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.2
Short Interest,0.0521
Today's Open,2.19
Volume,626232.0
Volume 10-day Avg,2515791.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.2058823529411764
Growth 1yr High Est,0.0588235294117645
Growth 1yr Consensus Est,0.13235294117647045
Growth 2yr Low Est,0.3224533715925394
Growth 2yr High Est,-0.04003267973856217
Growth 2yr Consensus Est,0.1412103459269886
Growth 5yr Low Est,0.28639748582359764
Growth 5yr High Est,0.09331154684095859
Growth 5yr Consensus Est,0.18985451633227812
Growth 5yr Actual/Est,0.061156898656898606
Growth 3yr Historic,0.00694444444444442
Price/Earnings (TTM),
Price/Sales (TTM),552.082
Price/Book (MRQ),7.82361
Price/Cash Flow (TTM),
5yr Low,0.75
5yr High,6.99
5yr Avg Return,0.10045
EPS Growth 5yr,
Revenue Growth 5yr,-0.2572445
Dividend Growth 5yr,
Short Int Current Month,19022937.0
Short Int Prev Month,16500938.0
Short Int Pct of Float,0.0521036
Days to Cover,5.35002
Float,365.3359
Shares Outstanding,381.235
Institutions Holding Shares,217.0
FCF Growth 5yr,0.22447530495089682
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-83.2231
Net Profit Margin (TTM),-85.63799999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.455
EPS Growth (TTM),-0.079
Revenue Growth (MRQ),3.0685000000000002
Revenue Growth (TTM),2.804
Return On Equity (TTM),-1.0109000000000001
Return On Assets (TTM),-0.5687
Return On Investment (TTM),-0.7713
Revenue Per Employee (TTM),22217.0
Total Debt/Total Capital (MRQ),0.3194
Change in Debt/Total Capital Quarter over Quarter,0.0044
Quick Ratio (MRQ),
Interest Coverage (MRQ),-41.4
theStreet,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
theStreet since,2016-02-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
