,GERN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),552.08,45.03,Valuation,12.260270930490785
Price/Book (MRQ),7.82,12.61,Valuation,0.6201427438540841
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-83.2231,-4.7459,Profitability,17.535788786110118
Net Profit Margin (TTM),-85.63799999999999,-4.5467,Profitability,18.835199155431408
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.455,-0.0014000000000000002,Gowth rates,324.99999999999994
EPS Growth (TTM),-0.079,0.027200000000000002,Gowth rates,-2.9044117647058822
Revenue Growth (MRQ),3.0685000000000002,1.3963999999999999,Gowth rates,2.197436264680608
Revenue Growth (TTM),2.804,0.9747,Gowth rates,2.8767825997742893
Return On Equity (TTM),-1.0109000000000001,0.1967,Effectiveness,-5.139298423995934
Return On Assets (TTM),-0.5687,0.0016,Effectiveness,-355.4375
Return On Investment (TTM),-0.7713,0.0219,Effectiveness,-35.21917808219178
Revenue Per Employee (TTM),22217.0,1476201.0,Effectiveness,0.01505011851367124
Total Debt/Total Capital (MRQ),0.3194,0.4675,Financial strength,0.6832085561497326
Change in Debt/Total Capital Quarter over Quarter,0.0044,0.0036,Financial strength,1.2222222222222223
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-41.4,2.69,Financial strength,-15.390334572490707
