,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,35.25,136.5,122.75,36.62,,,,,
low,14.12,10.63,33.55,7.32,,,,,
change,-0.0665,3.1329000000000002,-0.5937,-0.7625000000000001,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,135.0,118.0,49.0,43.0,Balance Sheet
Cash & Equivalents,,,,,31.0,67.0,10.0,45.0,Balance Sheet
Short Term Investments,,,,,362.0,455.0,424.0,445.0,Balance Sheet
Cash and Short Term Invs,,,,,528.0,640.0,482.0,533.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,68.0,77.0,72.0,78.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-3.0,-3.0,-4.0,-5.0,Balance Sheet
"Total Receivables, Net",,,,,65.0,74.0,68.0,73.0,Balance Sheet
Prepaid Expenses,,,,,32.0,24.0,29.0,31.0,Balance Sheet
"Other Curr. Assets, Total",,,,,0.0,,,,Balance Sheet
Total Current Assets,,,,,625.0,737.0,580.0,637.0,Balance Sheet
Buildings,,,,,5.0,5.0,8.0,8.0,Balance Sheet
Machinery/Equipment,,,,,248.0,263.0,268.0,275.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,72.0,66.0,102.0,106.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,324.0,334.0,378.0,389.0,Balance Sheet
Accumulated Depreciation,,,,,-88.0,-96.0,-105.0,-107.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,237.0,238.0,273.0,282.0,Balance Sheet
"Goodwill, Net",,,,,637.0,638.0,670.0,670.0,Balance Sheet
Intangibles - Gross,,,,,129.0,129.0,131.0,131.0,Balance Sheet
Accum. Intangible Amort.,,,,,-27.0,-32.0,-38.0,-43.0,Balance Sheet
Intangibles - Net,,,,,103.0,97.0,94.0,88.0,Balance Sheet
Long Term Investments,,,,,529.0,394.0,285.0,186.0,Balance Sheet
Note Rcvble - Long Term,,,,,0.0,0.0,0.0,,Balance Sheet
Deferred Charges,,,,,24.0,26.0,27.0,36.0,Balance Sheet
Restricted Cash - LT,,,,,1.0,1.0,,,Balance Sheet
Other Long Term Assets,,,,,5.0,3.0,4.0,7.0,Balance Sheet
Total Assets,,,,,2159.0,2134.0,1933.0,1907.0,Balance Sheet
Accounts Payable,,,,,9.0,8.0,10.0,8.0,Balance Sheet
Accrued Expenses,,,,,67.0,76.0,64.0,72.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,21.0,27.0,28.0,28.0,Balance Sheet
Customer Advances,,,,,26.0,28.0,25.0,23.0,Balance Sheet
Income Taxes Payable,,,,,7.0,,8.0,9.0,Balance Sheet
Other Payables,,,,,,,4.0,4.0,Balance Sheet
Other Current Liabilities,,,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,35.0,29.0,39.0,37.0,Balance Sheet
Total Current Liabilities,,,,,132.0,140.0,141.0,145.0,Balance Sheet
Long Term Debt,,,,,933.0,934.0,703.0,704.0,Balance Sheet
Capital Lease Obligations,,,,,22.0,29.0,26.0,21.0,Balance Sheet
Total Long Term Debt,,,,,955.0,963.0,730.0,725.0,Balance Sheet
Total Debt,,,,,977.0,990.0,758.0,753.0,Balance Sheet
"Other Liabilities, Total",,,,,58.0,55.0,68.0,70.0,Balance Sheet
Total Liabilities,,,,,1145.0,1158.0,939.0,940.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1527.0,1561.0,1598.0,1635.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-511.0,-575.0,-592.0,-655.0,Balance Sheet
"Other Equity, Total",,,,,-3.0,-9.0,-13.0,-13.0,Balance Sheet
Total Equity,,,,,1014.0,977.0,994.0,967.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,2159.0,2134.0,1933.0,1907.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,119.0,121.0,122.0,123.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,0.0,,,,Balance Sheet
Ttl Comm. Shares Outs.,,,,,119.0,121.0,122.0,123.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,,,,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,97717.0,102382.0,102518.0,108504.0,Income Statement
"Cost of Revenue, Total",,,,,47944.0,53915.0,56466.0,55825.0,Income Statement
Selling/Gen/Admin Expense,,,,,48135.0,50647.0,56302.0,51375.0,Income Statement
Labor & Related Expense,,,,,21597.0,18487.0,17901.0,21912.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,69732.0,69134.0,74203.0,73287.0,Income Statement
Research & Development,,,,,34997.0,40437.0,38717.0,38957.0,Income Statement
Unusual Expense (Income),,,,,,,-54391.0,4200.0,Income Statement
"Other Operat Expse, Total",,,,,1700.0,1900.0,2100.0,2000.0,Income Statement
Total Operating Expense,,,,,154373.0,165386.0,117095.0,174269.0,Income Statement
Total Operating Income,,,,,-56656.0,-63004.0,-14577.0,-65765.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-1593.0,-1622.0,-1530.0,-1381.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,552.0,681.0,1502.0,1967.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,201.0,-279.0,-1673.0,1877.0,Income Statement
"Other, Net",,,,,201.0,-279.0,-1673.0,1877.0,Income Statement
Income Before Tax,,,,,-57496.0,-64224.0,-16278.0,-63302.0,Income Statement
Income Tax - Total,,,,,25.0,40.0,159.0,118.0,Income Statement
Income After Tax,,,,,-57521.0,-64264.0,-16437.0,-63420.0,Income Statement
Net Inc Before Extra Items,,,,,-57521.0,-64264.0,-16437.0,-63420.0,Income Statement
Total Net Income,,,,,-57521.0,-64264.0,-16437.0,-63420.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-57521.0,-64264.0,-16437.0,-63420.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-57521.0,-64264.0,-16437.0,-63420.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,118252.0,119673.0,121242.0,122339.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.49,-0.54,-0.14,-0.52,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.49,-0.54,-0.14,-0.52,Income Statement
Diluted Weighted Average Shares,,,,,118252.0,119673.0,121242.0,122339.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.49,-0.54,-0.14,-0.52,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.49,-0.54,-0.14,-0.52,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,,0.0,0.0,Income Statement
