,FSLY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),2.56,19.35,Valuation,0.13229974160206717
Price/Book (MRQ),1.09,19.03,Valuation,0.057277982133473467
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.47909999999999997,0.44520000000000004,Profitability,1.0761455525606467
Operating Profit Margin (TTM),-0.4865,0.3027,Profitability,-1.607201850016518
Net Profit Margin (TTM),-0.4905,0.23600000000000002,Profitability,-2.0783898305084745
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-2.8239,-3.5570999999999997,Gowth rates,0.7938770346630684
EPS Growth (TTM),0.0867,0.15560000000000002,Gowth rates,0.5571979434447301
Revenue Growth (MRQ),0.0584,0.16460000000000002,Gowth rates,0.3547995139732685
Revenue Growth (TTM),0.2118,0.2273,Gowth rates,0.9318081830180378
Return On Equity (TTM),-0.2034,0.5459,Effectiveness,-0.3725957135006411
Return On Assets (TTM),-0.09970000000000001,0.1131,Effectiveness,-0.8815207780725023
Return On Investment (TTM),-0.1063,0.189,Effectiveness,-0.5624338624338625
Revenue Per Employee (TTM),421231.0,686063.0,Effectiveness,0.6139829724092394
Total Debt/Total Capital (MRQ),0.4378,0.5613,Financial strength,0.7799750579013006
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002,0.0048,Financial strength,-0.27083333333333337
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
