,ZYXI
% Below High,0.07150000000000001
% Held by Institutions,0.285
52-Wk Range,['4.97 - 14.55']
Annual Dividend $,
Annual Dividend %,
Ask,13.51
Ask Size,400.0
B/A Ratio,5.5
B/A Size,2200x400
Beta,0.8
Bid,13.49
Bid Size,2200.0
Closing Price,13.51
Day Change $,-0.02
Day Change %,-0.0015
Day High,13.76
Day Low,13.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,1.2550000000000001
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,520.1M
"P/E Ratio (TTM, GAAP)",28.87
Prev Close,13.53
Short Interest,0.1613
Today's Open,13.53
Volume,122690.0
Volume 10-day Avg,177167.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.10526315789473673
Growth 1yr High Est,-0.06382978723404253
Growth 1yr Consensus Est,0.020716685330347095
Growth 2yr Low Est,0.15977443609022557
Growth 2yr High Est,0.2294487427466151
Growth 2yr Consensus Est,0.19461158941842033
Growth 5yr Low Est,0.2098872180451128
Growth 5yr High Est,0.28416881581775194
Growth 5yr Consensus Est,0.24702801693143236
Growth 5yr Actual/Est,0.2822579552230715
Growth 3yr Historic,0.18910256410256412
Price/Earnings (TTM),28.87201
Price/Sales (TTM),3.38444
Price/Book (MRQ),7.86379
Price/Cash Flow (TTM),23.53998
5yr Low,1.68
5yr High,27.02
5yr Avg Return,0.4388166666666667
EPS Growth 5yr,1.933079
Revenue Growth 5yr,0.5780993999999999
Dividend Growth 5yr,
Short Int Current Month,3352703.0
Short Int Prev Month,3684031.0
Short Int Pct of Float,0.16127060000000001
Days to Cover,12.69665
Float,20.79778
Shares Outstanding,37.45345
Institutions Holding Shares,169.0
FCF Growth 5yr,1.471636600493797
"Price/Earnings (TTM, GAAP)",28.83
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8013
Operating Profit Margin (TTM),0.1631
Net Profit Margin (TTM),0.1235
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4949
EPS Growth (TTM),0.8353
Revenue Growth (MRQ),0.1295
Revenue Growth (TTM),0.2959
Return On Equity (TTM),0.2876
Return On Assets (TTM),0.1794
Return On Investment (TTM),0.21
Revenue Per Employee (TTM),193447.0
Total Debt/Total Capital (MRQ),0.15880000000000002
Change in Debt/Total Capital Quarter over Quarter,0.1993
Quick Ratio (MRQ),2.68
Interest Coverage (MRQ),61.87
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-07-29 00:00:00
theStreet since,2021-12-21 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
