,ZYXI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.83,61.36,Valuation,0.4698500651890482
Price/Sales (TTM),3.38,9.8,Valuation,0.34489795918367344
Price/Book (MRQ),7.85,10.31,Valuation,0.7613967022308438
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.8013,0.6196,Profitability,1.2932537120723047
Operating Profit Margin (TTM),0.1631,0.047,Profitability,3.470212765957447
Net Profit Margin (TTM),0.1235,0.009300000000000001,Profitability,13.279569892473116
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.4949,-0.4858,Gowth rates,-1.0187319884726225
EPS Growth (TTM),0.8353,-0.2029,Gowth rates,-4.1168063085263675
Revenue Growth (MRQ),0.1295,0.1161,Gowth rates,1.11541774332472
Revenue Growth (TTM),0.2959,0.18300000000000002,Gowth rates,1.6169398907103822
Return On Equity (TTM),0.2876,0.1068,Effectiveness,2.6928838951310863
Return On Assets (TTM),0.1794,0.0622,Effectiveness,2.884244372990354
Return On Investment (TTM),0.21,0.0732,Effectiveness,2.8688524590163933
Revenue Per Employee (TTM),193447.0,403586.0,Effectiveness,0.4793203926796271
Total Debt/Total Capital (MRQ),0.15880000000000002,0.3161,Financial strength,0.5023726668775704
Change in Debt/Total Capital Quarter over Quarter,0.1993,0.0125,Financial strength,15.943999999999999
Quick Ratio (MRQ),2.68,2.25,Financial strength,1.1911111111111112
Interest Coverage (MRQ),61.87,14.99,Financial strength,4.127418278852568
