,MTB
Price/Earnings (TTM),17.11569
Price/Sales (TTM),4.1372
Price/Book (MRQ),1.28025
Price/Cash Flow (TTM),15.59277
5yr Low,85.09
5yr High,197.37
5yr Avg Return,0.019233333333333328
EPS Growth 5yr,0.12143509999999999
Revenue Growth 5yr,0.0021934
Dividend Growth 5yr,0.0995397
Short Int Current Month,2441019.0
Short Int Prev Month,3059729.0
Short Int Pct of Float,0.014219599999999999
Days to Cover,1.66801
Float,171.7476
Shares Outstanding,172.6133
Institutions Holding Shares,1172.0
% Held by Institutions,0.83538
FCF Growth 5yr,0.28047023415036965
