,MTB
% Below High,0.11
% Held by Institutions,0.8354
52-Wk Range,['141.49 - 193.42']
Annual Dividend $,4.8
Annual Dividend %,0.0279
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,122.22
Bid Size,
Closing Price,172.14
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",10.06
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.36100000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,29.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.12
Prev Close,172.14
Short Interest,0.014199999999999999
Today's Open,
Volume,316459.0
Volume 10-day Avg,1157773.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.03619047619047622
Growth 1yr High Est,0.13721264367816088
Growth 1yr Consensus Est,0.05051108374384233
Growth 2yr Low Est,0.30206286467156046
Growth 2yr High Est,0.25717233573674314
Growth 2yr Consensus Est,0.27961760020415183
Growth 5yr Low Est,0.1020268381550758
Growth 5yr High Est,0.13223048273717625
Growth 5yr Consensus Est,0.11712866044612602
Growth 5yr Actual/Est,0.1468017353533621
Growth 3yr Historic,0.027809767697091675
Price/Earnings (TTM),17.11569
Price/Sales (TTM),4.1372
Price/Book (MRQ),1.28025
Price/Cash Flow (TTM),15.59277
5yr Low,85.09
5yr High,197.37
5yr Avg Return,0.019233333333333328
EPS Growth 5yr,0.12143509999999999
Revenue Growth 5yr,0.0021934
Dividend Growth 5yr,0.0995397
Short Int Current Month,2441019.0
Short Int Prev Month,3059729.0
Short Int Pct of Float,0.014219599999999999
Days to Cover,1.66801
Float,171.7476
Shares Outstanding,172.6133
Institutions Holding Shares,1172.0
FCF Growth 5yr,0.28047023415036965
"Price/Earnings (TTM, GAAP)",17.12
"PEG Ratio (TTM, GAAP)",0.98
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3064
Net Profit Margin (TTM),0.2345
Annual Dividend Yield,0.0279
Dividend Change %,0.0227
"Dividend Growth Rate, 3 Years",0.08230000000000001
EPS Growth (MRQ),2.1767
EPS Growth (TTM),-0.2788
Revenue Growth (MRQ),0.2159
Revenue Growth (TTM),0.2772
Return On Equity (TTM),0.08130000000000001
Return On Assets (TTM),0.0096
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-28 00:00:00
cfra since,2019-10-25 00:00:00
ford since,2022-07-22 00:00:00
marketEdge opinion since,
