,RVMD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),65.8,45.03,Valuation,1.461248056850988
Price/Book (MRQ),2.82,12.61,Valuation,0.22363203806502777
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-8.4542,-4.7459,Profitability,1.7813691818200974
Net Profit Margin (TTM),-8.298,-4.5467,Profitability,1.8250599335781994
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.050499999999999996,-0.0014000000000000002,Gowth rates,36.07142857142856
EPS Growth (TTM),-0.34409999999999996,0.027200000000000002,Gowth rates,-12.650735294117645
Revenue Growth (MRQ),-0.6319,1.3963999999999999,Gowth rates,-0.4525207676883415
Revenue Growth (TTM),0.028900000000000002,0.9747,Gowth rates,0.029650148763722173
Return On Equity (TTM),-0.3711,0.1967,Effectiveness,-1.8866293848500253
Return On Assets (TTM),-0.3138,0.0016,Effectiveness,-196.125
Return On Investment (TTM),-0.3411,0.0219,Effectiveness,-15.575342465753426
Revenue Per Employee (TTM),156968.0,1476201.0,Effectiveness,0.10633240324318978
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
