,RVMD
% Below High,0.23079999999999998
% Held by Institutions,0.9994
52-Wk Range,['14.08 - 28.16']
Annual Dividend $,
Annual Dividend %,
Ask,21.71
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,21.65
Bid Size,200.0
Day Change $,-0.21
Day Change %,-0.0096
Day High,22.06
Day Low,21.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.18
Ex-dividend Date,No dividend
Historical Volatility,0.735
Last (size),100.0
Last (time),1:25p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.87
Price,21.66
Short Interest,0.1115
Today's Open,21.7
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3217054263565893
Growth 1yr High Est,0.3416666666666668
Growth 1yr Consensus Est,0.33168604651162803
Growth 2yr Low Est,0.23563277182932096
Growth 2yr High Est,0.1770445134575569
Growth 2yr Consensus Est,0.20633864264343893
Growth 5yr Low Est,0.23563277182932096
Growth 5yr High Est,0.1770445134575569
Growth 5yr Consensus Est,0.20633864264343893
Growth 5yr Actual/Est,-0.06380336420323496
Growth 3yr Historic,-0.15784489999621237
Price/Earnings (TTM),
Price/Sales (TTM),65.80328
Price/Book (MRQ),2.81841
Price/Cash Flow (TTM),
5yr Low,14.08
5yr High,56.18
5yr Avg Return,-0.03686666666666666
Short Int Current Month,9705730.0
Short Int Prev Month,9886451.0
Short Int Pct of Float,0.1114555
Days to Cover,14.60569
Float,87.19607
Shares Outstanding,88.7908
Institutions Holding Shares,211.0
FCF Growth 5yr,0.29046328956657785
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-8.4542
Net Profit Margin (TTM),-8.298
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.050499999999999996
EPS Growth (TTM),-0.34409999999999996
Revenue Growth (MRQ),-0.6319
Revenue Growth (TTM),0.028900000000000002
Return On Equity (TTM),-0.3711
Return On Assets (TTM),-0.3138
Return On Investment (TTM),-0.3411
Revenue Per Employee (TTM),156968.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-06-02 00:00:00
theStreet since,2021-06-02 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
