,GRBK
Price/Earnings (TTM),4.01357
Price/Sales (TTM),0.63197
Price/Book (MRQ),1.1692
Price/Cash Flow (TTM),3.51172
5yr Low,5.66
5yr High,32.25
5yr Avg Return,0.22009999999999993
EPS Growth 5yr,0.5028385
Revenue Growth 5yr,0.2911355
Dividend Growth 5yr,
Short Int Current Month,2165497.0
Short Int Prev Month,2609968.0
Short Int Pct of Float,0.050377
Days to Cover,3.92231
Float,42.98583
Shares Outstanding,46.03765
Institutions Holding Shares,253.0
% Held by Institutions,0.891152
FCF Growth 5yr,-1.8581482037983432
