,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,57.41,39.31,,,,,
low,27.63,14.56,,,,,
change,0.11939999999999999,-0.4476,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,385.0,366.0,361.0,349.0,Balance Sheet
"Trade Accts Recvble, Gross",,,13.0,14.0,17.0,18.0,Balance Sheet
Prov. for Doubtful Accts,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,13.0,14.0,17.0,18.0,Balance Sheet
Other Receivables,,,32.0,21.0,24.0,40.0,Balance Sheet
"Total Receivables, Net",,,45.0,35.0,41.0,58.0,Balance Sheet
Prepaid Expenses,,,10.0,9.0,12.0,14.0,Balance Sheet
"Other Curr. Assets, Total",,,4.0,4.0,2.0,2.0,Balance Sheet
Total Current Assets,,,444.0,414.0,415.0,423.0,Balance Sheet
Buildings,,,5.0,5.0,5.0,5.0,Balance Sheet
Machinery/Equipment,,,10.0,11.0,13.0,15.0,Balance Sheet
Other Prop./Plant/Equip.,,,1.0,1.0,1.0,1.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,16.0,17.0,19.0,20.0,Balance Sheet
Accumulated Depreciation,,,-6.0,-7.0,-8.0,-8.0,Balance Sheet
Prop./Plant/Equip. - Net,,,9.0,10.0,12.0,12.0,Balance Sheet
"Goodwill, Net",,,86.0,85.0,82.0,95.0,Balance Sheet
Intangibles - Gross,,,110.0,110.0,107.0,120.0,Balance Sheet
Accum. Intangible Amort.,,,-17.0,-17.0,-21.0,-23.0,Balance Sheet
Intangibles - Net,,,94.0,91.0,86.0,97.0,Balance Sheet
Other Long Term Assets,,,7.0,11.0,11.0,14.0,Balance Sheet
Total Assets,,,640.0,610.0,606.0,641.0,Balance Sheet
Accounts Payable,,,82.0,64.0,72.0,85.0,Balance Sheet
Accrued Expenses,,,23.0,22.0,27.0,30.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,5.0,5.0,5.0,5.0,Balance Sheet
Other Current Liabilities,,,8.0,1.0,2.0,3.0,Balance Sheet
"Other Curr. Lblts, Total",,,13.0,6.0,7.0,8.0,Balance Sheet
Total Current Liabilities,,,117.0,91.0,106.0,123.0,Balance Sheet
Total Long Term Debt,,,26.0,26.0,26.0,26.0,Balance Sheet
Total Debt,,,26.0,26.0,26.0,26.0,Balance Sheet
Deferred Income Tax,,,8.0,8.0,8.0,13.0,Balance Sheet
"Other Liabilities, Total",,,6.0,6.0,4.0,5.0,Balance Sheet
Total Liabilities,,,158.0,131.0,143.0,167.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,609.0,615.0,624.0,640.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-126.0,-136.0,-160.0,-164.0,Balance Sheet
Treasury Stock - Common,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,-1.0,-1.0,Balance Sheet
