,FLYW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),8.54,19.35,Valuation,0.44134366925064594
Price/Book (MRQ),4.81,19.03,Valuation,0.2527588018917498
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.6354,0.44520000000000004,Profitability,1.4272237196765496
Operating Profit Margin (TTM),-0.1165,0.3027,Profitability,-0.3848695077634622
Net Profit Margin (TTM),-0.18489999999999998,0.23600000000000002,Profitability,-0.7834745762711863
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.8212999999999999,-3.5570999999999997,Gowth rates,-0.23089033201203227
EPS Growth (TTM),-0.198,0.15560000000000002,Gowth rates,-1.2724935732647815
Revenue Growth (MRQ),0.6844,0.16460000000000002,Gowth rates,4.157958687727825
Revenue Growth (TTM),0.46299999999999997,0.2273,Gowth rates,2.03695556533216
Return On Equity (TTM),-0.10289999999999999,0.5459,Effectiveness,-0.18849606154973436
Return On Assets (TTM),-0.07830000000000001,0.1131,Effectiveness,-0.6923076923076923
Return On Investment (TTM),-0.09570000000000001,0.189,Effectiveness,-0.5063492063492064
Revenue Per Employee (TTM),402580.0,686063.0,Effectiveness,0.5867974223941533
Total Debt/Total Capital (MRQ),0.0518,0.5613,Financial strength,0.09228576518795652
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0048,Financial strength,-0.0625
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),9.88,27.21,Financial strength,0.3631018008085263
