,FLYW
% Above Low,0.44020000000000004
% Held by Institutions,0.8742
52-Wk Range,['14.56 - 43.17']
Annual Dividend $,
Annual Dividend %,
Ask,22.5
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,
Bid,18.99
Bid Size,1000.0
Closing Price,20.97
Day Change $,-0.14
Day Change %,-0.0066
Day High,21.07
Day Low,20.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.46
Ex-dividend Date,No dividend
Historical Volatility,0.7090000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.11
Short Interest,0.045599999999999995
Today's Open,21.01
Volume,296008.0
Volume 10-day Avg,1370856.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.38
Growth 2yr High Est,-1.441860465116279
Growth 2yr Consensus Est,-0.9109302325581394
Growth 5yr Low Est,-0.38
Growth 5yr High Est,-1.441860465116279
Growth 5yr Consensus Est,-0.9109302325581394
Growth 5yr Actual/Est,0.09618794326241131
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),8.53785
Price/Book (MRQ),4.81104
Price/Cash Flow (TTM),
5yr Low,14.56
5yr High,57.41
5yr Avg Return,-0.1641
Short Int Current Month,4599309.0
Short Int Prev Month,4816320.0
Short Int Pct of Float,0.045641999999999995
Days to Cover,2.94974
Float,97.21625
Shares Outstanding,108.9995
Institutions Holding Shares,209.0
FCF Growth 5yr,-0.6645157399325787
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6354
Operating Profit Margin (TTM),-0.1165
Net Profit Margin (TTM),-0.18489999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8212999999999999
EPS Growth (TTM),-0.198
Revenue Growth (MRQ),0.6844
Revenue Growth (TTM),0.46299999999999997
Return On Equity (TTM),-0.10289999999999999
Return On Assets (TTM),-0.07830000000000001
Return On Investment (TTM),-0.09570000000000001
Revenue Per Employee (TTM),402580.0
Total Debt/Total Capital (MRQ),0.0518
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.88
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-10 00:00:00
researchTeam since,2022-08-10 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
