,MRTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),481.25,45.03,Valuation,10.68731956473462
Price/Book (MRQ),5.03,12.61,Valuation,0.39888977002379067
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-63.12520000000001,-4.7459,Profitability,13.300996649739778
Net Profit Margin (TTM),-62.53810000000001,-4.5467,Profitability,13.754613235973343
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.027999999999999997,-0.0014000000000000002,Gowth rates,-19.999999999999996
EPS Growth (TTM),-0.4036,0.027200000000000002,Gowth rates,-14.838235294117647
Revenue Growth (MRQ),0.0129,1.3963999999999999,Gowth rates,0.009238040676024063
Revenue Growth (TTM),-0.8394,0.9747,Gowth rates,-0.8611880578639581
Return On Equity (TTM),-0.667,0.1967,Effectiveness,-3.3909506863243517
Return On Assets (TTM),-0.5774,0.0016,Effectiveness,-360.875
Return On Investment (TTM),-0.6397,0.0219,Effectiveness,-29.21004566210046
Revenue Per Employee (TTM),28574.0,1476201.0,Effectiveness,0.019356442652457218
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
