,MRTX
% Below High,0.3603
% Held by Institutions,1.0901
52-Wk Range,['32.96 - 154.17']
Annual Dividend $,
Annual Dividend %,
Ask,104.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,63.11
Bid Size,100.0
Closing Price,98.62
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-13.38
Ex-dividend Date,No dividend
Historical Volatility,0.8220000000000001
Last (size),300.0
Last (time),1:00p ET 11/25/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,98.62
Short Interest,0.1493
Today's Open,
Volume,926920.0
Volume 10-day Avg,1848559.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.6598870056497175
Growth 1yr High Est,0.6379746835443036
Growth 1yr Consensus Est,0.6489308445970106
Growth 2yr Low Est,0.4497528969705361
Growth 2yr High Est,0.11883278226674227
Growth 2yr Consensus Est,0.28429283961863916
Growth 5yr Low Est,0.2998352646470241
Growth 5yr High Est,0.07922185484449484
Growth 5yr Consensus Est,0.18952855974575944
Growth 5yr Actual/Est,0.2398377831537025
Growth 3yr Historic,0.2018092439349648
Price/Earnings (TTM),
Price/Sales (TTM),481.2489
Price/Book (MRQ),5.02849
Price/Cash Flow (TTM),
5yr Low,15.35
5yr High,249.42
5yr Avg Return,0.5809333333333333
Short Int Current Month,8084646.0
Short Int Prev Month,7727636.0
Short Int Pct of Float,0.1492608
Days to Cover,8.64155
Float,54.20636
Shares Outstanding,57.58688
Institutions Holding Shares,344.0
FCF Growth 5yr,0.2543699332360547
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-63.12520000000001
Net Profit Margin (TTM),-62.53810000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.027999999999999997
EPS Growth (TTM),-0.4036
Revenue Growth (MRQ),0.0129
Revenue Growth (TTM),-0.8394
Return On Equity (TTM),-0.667
Return On Assets (TTM),-0.5774
Return On Investment (TTM),-0.6397
Revenue Per Employee (TTM),28574.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2018-01-26 00:00:00
theStreet since,2019-06-04 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
