,CYXT
% Above Low,0.0747
% Held by Institutions,0.6124
52-Wk Range,['1.74 - 15.42']
Annual Dividend $,
Annual Dividend %,
Ask,2.99
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,1.35
Bid Size,300.0
Closing Price,1.87
Day Change $,0.08
Day Change %,0.0447
Day High,1.94
Day Low,1.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.71
Ex-dividend Date,No dividend
Historical Volatility,0.7040000000000001
Last (size),30.0
Last (time),1:00p ET 11/25/22
Market Cap,335.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.79
Short Interest,0.025699999999999997
Today's Open,1.81
Volume,177537.0
Volume 10-day Avg,619204.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.12598425196850394
Growth 2yr High Est,-0.36
Growth 2yr Consensus Est,-0.11700787401574803
Growth 5yr Low Est,0.12598425196850394
Growth 5yr High Est,-0.36
Growth 5yr Consensus Est,-0.11700787401574803
Growth 5yr Actual/Est,-0.27104029990627926
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.45917
Price/Book (MRQ),0.58152
Price/Cash Flow (TTM),10.30321
5yr Low,1.74
5yr High,15.42
5yr Avg Return,-0.20113333333333333
Short Int Current Month,3417157.0
Short Int Prev Month,3795801.0
Short Int Pct of Float,0.0256932
Days to Cover,4.32805
Float,133.0068
Shares Outstanding,179.6175
Institutions Holding Shares,135.0
FCF Growth 5yr,0.13913509759856654
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4535
Operating Profit Margin (TTM),-0.0734
Net Profit Margin (TTM),-0.2878
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1586
EPS Growth (TTM),
Revenue Growth (MRQ),0.013600000000000001
Revenue Growth (TTM),
Return On Equity (TTM),-0.3383
Return On Assets (TTM),-0.0681
Return On Investment (TTM),-0.0746
Revenue Per Employee (TTM),981879.0
Total Debt/Total Capital (MRQ),0.7781
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.28
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-11-10 00:00:00
newConstructs since,
marketEdge opinion since,
