,CYXT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),0.46,19.35,Valuation,0.023772609819121448
Price/Book (MRQ),0.58,19.03,Valuation,0.030478192327903306
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.4535,0.44520000000000004,Profitability,1.0186433063791553
Operating Profit Margin (TTM),-0.0734,0.3027,Profitability,-0.2424843078956062
Net Profit Margin (TTM),-0.2878,0.23600000000000002,Profitability,-1.2194915254237286
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.1586,-3.5569,Gowth rates,0.04458938963704349
EPS Growth (TTM),,0.15560000000000002,Gowth rates,
Revenue Growth (MRQ),0.013600000000000001,0.16460000000000002,Gowth rates,0.08262454434993924
Revenue Growth (TTM),,0.2273,Gowth rates,
Return On Equity (TTM),-0.3383,0.5459,Effectiveness,-0.6197105697014105
Return On Assets (TTM),-0.0681,0.1131,Effectiveness,-0.6021220159151193
Return On Investment (TTM),-0.0746,0.18910000000000002,Effectiveness,-0.39450026441036484
Revenue Per Employee (TTM),981879.0,686074.0,Effectiveness,1.4311561143550113
Total Debt/Total Capital (MRQ),0.7781,0.5613,Financial strength,1.386246214145733
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0048,Financial strength,-0.020833333333333336
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),-0.28,27.21,Financial strength,-0.010290334435869167
