,NSSC
Price/Earnings (TTM),53.4927
Price/Sales (TTM),6.3926
Price/Book (MRQ),8.05079
Price/Cash Flow (TTM),48.50036
5yr Low,3.95
5yr High,31.3
5yr Avg Return,0.4077666666666666
EPS Growth 5yr,0.2905803
Revenue Growth 5yr,0.10446059999999999
Dividend Growth 5yr,
Short Int Current Month,2306788.0
Short Int Prev Month,2353894.0
Short Int Pct of Float,0.0759365
Days to Cover,8.73198
Float,30.31589
Shares Outstanding,36.74475
Institutions Holding Shares,197.0
% Held by Institutions,0.692483
FCF Growth 5yr,-0.45511457922709697
