,NSSC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",53.49,21.62,Valuation,2.4740980573543014
Price/Sales (TTM),6.39,5.43,Valuation,1.1767955801104972
Price/Book (MRQ),8.05,5.49,Valuation,1.4663023679417122
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.4201,0.33659999999999995,Profitability,1.248068924539513
Operating Profit Margin (TTM),0.1401,-0.0824,Profitability,-1.700242718446602
Net Profit Margin (TTM),0.12,-0.1173,Profitability,-1.023017902813299
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.1539,0.1058,Gowth rates,-1.4546313799621928
EPS Growth (TTM),-0.1265,-0.0147,Gowth rates,8.60544217687075
Revenue Growth (MRQ),-0.0864,0.1655,Gowth rates,-0.5220543806646526
Revenue Growth (TTM),0.24710000000000001,0.1855,Gowth rates,1.3320754716981134
Return On Equity (TTM),0.1645,0.23850000000000002,Effectiveness,0.689727463312369
Return On Assets (TTM),0.1319,0.0752,Effectiveness,1.7539893617021274
Return On Investment (TTM),0.1539,0.1041,Effectiveness,1.4783861671469742
Revenue Per Employee (TTM),132319.0,449465.0,Effectiveness,0.2943922218637714
Total Debt/Total Capital (MRQ),0.0,0.3575,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0362,Financial strength,
Quick Ratio (MRQ),2.88,1.53,Financial strength,1.8823529411764706
Interest Coverage (MRQ),70.38,15.46,Financial strength,4.552393272962483
