,NSSC
% Below High,0.155
% Held by Institutions,0.6925
52-Wk Range,['15.39 - 31.30']
Annual Dividend $,
Annual Dividend %,
Ask,29.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.1
Bid,19.69
Bid Size,200.0
Closing Price,26.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.49
Ex-dividend Date,No dividend
Historical Volatility,0.441
Last (size),196.0
Last (time),1:00p ET 11/25/22
Market Cap,971.9M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",53.49
Prev Close,26.45
Short Interest,0.0759
Today's Open,
Volume,92905.0
Volume 10-day Avg,213365.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.11688311688311681
Growth 1yr High Est,0.012499999999999956
Growth 1yr Consensus Est,-0.05219155844155843
Growth 2yr Low Est,0.11802902979373564
Growth 2yr High Est,0.28402777777777766
Growth 2yr Consensus Est,0.20102840378575665
Growth 5yr Low Est,0.07868601986249042
Growth 5yr High Est,0.18935185185185177
Growth 5yr Consensus Est,0.1340189358571711
Growth 5yr Actual/Est,0.4132987640523305
Growth 3yr Historic,0.18924216027874557
Price/Earnings (TTM),53.4927
Price/Sales (TTM),6.3926
Price/Book (MRQ),8.05079
Price/Cash Flow (TTM),48.50036
5yr Low,3.95
5yr High,31.3
5yr Avg Return,0.4077666666666666
EPS Growth 5yr,0.2905803
Revenue Growth 5yr,0.10446059999999999
Dividend Growth 5yr,
Short Int Current Month,2306788.0
Short Int Prev Month,2353894.0
Short Int Pct of Float,0.0759365
Days to Cover,8.73198
Float,30.31589
Shares Outstanding,36.74475
Institutions Holding Shares,197.0
FCF Growth 5yr,-0.45511457922709697
"Price/Earnings (TTM, GAAP)",53.49
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4201
Operating Profit Margin (TTM),0.1401
Net Profit Margin (TTM),0.12
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1539
EPS Growth (TTM),-0.1265
Revenue Growth (MRQ),-0.0864
Revenue Growth (TTM),0.24710000000000001
Return On Equity (TTM),0.1645
Return On Assets (TTM),0.1319
Return On Investment (TTM),0.1539
Revenue Per Employee (TTM),132319.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.88
Interest Coverage (MRQ),70.38
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-14 00:00:00
theStreet since,2022-06-28 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
