,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,4.15,4.63,3.51,6.79,9.44,7.66,,,,,
low,3.43,2.17,1.21,1.4,4.5,3.41,,,,,
change,0.050300000000000004,-0.4144,0.4487,0.8783,-0.2368,0.0097,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,210.0,212.0,198.0,145.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,36.0,33.0,18.0,12.0,Balance Sheet
Other Receivables,,,,,,,8.0,9.0,8.0,13.0,Balance Sheet
"Total Receivables, Net",,,,,,,45.0,42.0,26.0,25.0,Balance Sheet
Total Inventory,,,,,,,68.0,73.0,75.0,92.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,19.0,17.0,23.0,22.0,Balance Sheet
Total Current Assets,,,,,,,342.0,344.0,322.0,284.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,2323.0,2311.0,2308.0,2566.0,Balance Sheet
Long Term Investments,,,,,,,11.0,29.0,24.0,13.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,46.0,46.0,46.0,46.0,Balance Sheet
Restricted Cash - LT,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Long Term Assets,,,,,,,6.0,8.0,17.0,25.0,Balance Sheet
Total Assets,,,,,,,2729.0,2739.0,2717.0,2935.0,Balance Sheet
Payable/Accrued,,,,,,,68.0,74.0,85.0,88.0,Balance Sheet
Accrued Expenses,,,,,,,55.0,59.0,61.0,55.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,6.0,,,,Balance Sheet
Income Taxes Payable,,,,,,,12.0,16.0,8.0,7.0,Balance Sheet
Other Current Liabilities,,,,,,,19.0,39.0,4.0,12.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,32.0,55.0,13.0,19.0,Balance Sheet
Total Current Liabilities,,,,,,,160.0,188.0,158.0,161.0,Balance Sheet
Long Term Debt,,,,,,,508.0,509.0,508.0,531.0,Balance Sheet
Capital Lease Obligations,,,,,,,8.0,,,,Balance Sheet
Total Long Term Debt,,,,,,,516.0,509.0,508.0,531.0,Balance Sheet
Total Debt,,,,,,,521.0,509.0,508.0,531.0,Balance Sheet
Deferred Income Tax,,,,,,,150.0,141.0,143.0,154.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,5.0,,,,Balance Sheet
Other LT Liabilities,,,,,,,137.0,172.0,125.0,134.0,Balance Sheet
"Other Liabilities, Total",,,,,,,142.0,172.0,125.0,134.0,Balance Sheet
Total Liabilities,,,,,,,968.0,1010.0,934.0,980.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,136.0,137.0,137.0,151.0,Balance Sheet
Additional Paid-In Capital,,,,,,,2034.0,2036.0,2044.0,2242.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-354.0,-353.0,-370.0,-397.0,Balance Sheet
Treasury Stock - Common,,,,,,,-28.0,-30.0,-32.0,-32.0,Balance Sheet
"Other Equity, Total",,,,,,,-28.0,-62.0,4.0,-9.0,Balance Sheet
Total Equity,,,,,,,1761.0,1729.0,1783.0,1955.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,2729.0,2739.0,2717.0,2935.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,538.0,539.0,540.0,596.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,7.0,8.0,8.0,8.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
