,HL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,8.1,Valuation,
Price/Sales (TTM),4.43,26.88,Valuation,0.16480654761904762
Price/Book (MRQ),1.58,2.96,Valuation,0.5337837837837838
"PEG Ratio (TTM, GAAP)",,0.16,Valuation,
Gross Profit Margin (TTM),0.2036,0.37450000000000006,Profitability,0.5436582109479305
Operating Profit Margin (TTM),0.026600000000000002,0.1534,Profitability,0.17340286831812257
Net Profit Margin (TTM),-0.0296,-0.0742,Profitability,0.39892183288409705
Annual Dividend Yield,0.0043,0.0221,Dividend,0.1945701357466063
Dividend Change %,1.0769,1.2752,Dividend,0.8444949811794229
"Dividend Growth Rate, 3 Years",0.5,0.166,Dividend,3.012048192771084
EPS Growth (MRQ),-0.6846,2.9881,Gowth rates,-0.22910879823299085
EPS Growth (TTM),-1.8172,0.4999,Gowth rates,-3.635127025405081
Revenue Growth (MRQ),-0.2348,-0.0394,Gowth rates,5.959390862944163
Revenue Growth (TTM),-0.1259,0.1966,Gowth rates,-0.640386571719227
Return On Equity (TTM),-0.0117,0.284,Effectiveness,-0.04119718309859156
Return On Assets (TTM),-0.0075,0.0867,Effectiveness,-0.08650519031141868
Return On Investment (TTM),-0.0079,0.171,Effectiveness,-0.046198830409356725
Revenue Per Employee (TTM),429793.0,1551415.0,Effectiveness,0.2770329022215203
Total Debt/Total Capital (MRQ),0.21350000000000002,0.30510000000000004,Financial strength,0.6997705670272042
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0381,Financial strength,-0.018372703412073494
Quick Ratio (MRQ),1.19,2.21,Financial strength,0.5384615384615384
Interest Coverage (MRQ),-0.65,28.93,Financial strength,-0.02246802627030764
