,HL
% Above Low,0.5191
% Held by Institutions,0.5775
52-Wk Range,['3.41 - 7.66']
Annual Dividend $,0.0225
Annual Dividend %,0.0043
Ask,5.18
Ask Size,100.0
B/A Ratio,16.0
B/A Size,1600x100
Beta,2.0
Bid,5.14
Bid Size,1600.0
Closing Price,5.18
Day Change $,-0.03
Day Change %,-0.0058
Day High,5.22
Day Low,5.13
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",-0.04
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.627
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,5.21
Short Interest,0.026099999999999998
Today's Open,5.21
Volume,3052891.0
Volume 10-day Avg,7215197.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,4.0
Growth 1yr High Est,0.6666666666666667
Growth 1yr Consensus Est,2.3333333333333335
Growth 2yr Low Est,0.7000000000000002
Growth 2yr High Est,0.8833333333333332
Growth 2yr Consensus Est,0.7916666666666667
Growth 5yr Low Est,0.11315789473684212
Growth 5yr High Est,0.041666666666666574
Growth 5yr Consensus Est,0.07741228070175443
Growth 5yr Actual/Est,1.1016483516483517
Growth 3yr Historic,0.2980769230769232
Price/Earnings (TTM),
Price/Sales (TTM),4.42847
Price/Book (MRQ),1.57825
Price/Cash Flow (TTM),26.60411
5yr Low,1.21
5yr High,9.44
5yr Avg Return,0.1226333333333333
EPS Growth 5yr,-0.1682027
Revenue Growth 5yr,0.045646500000000007
Dividend Growth 5yr,0.27542449999999996
Short Int Current Month,14679593.0
Short Int Prev Month,15142113.0
Short Int Pct of Float,0.0260941
Days to Cover,1.47199
Float,562.5634
Shares Outstanding,606.2706
Institutions Holding Shares,363.0
FCF Growth 5yr,-1.0890304998712346
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2036
Operating Profit Margin (TTM),0.026600000000000002
Net Profit Margin (TTM),-0.0296
Annual Dividend Yield,0.0043
Dividend Change %,1.0769
"Dividend Growth Rate, 3 Years",0.5
EPS Growth (MRQ),-0.6846
EPS Growth (TTM),-1.8172
Revenue Growth (MRQ),-0.2348
Revenue Growth (TTM),-0.1259
Return On Equity (TTM),-0.0117
Return On Assets (TTM),-0.0075
Return On Investment (TTM),-0.0079
Revenue Per Employee (TTM),429793.0
Total Debt/Total Capital (MRQ),0.21350000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),-0.65
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-06-29 00:00:00
researchTeam since,2022-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
