,WOW
% Above Low,0.0767
% Held by Institutions,0.8848
52-Wk Range,['9.78 - 22.94']
Annual Dividend $,
Annual Dividend %,
Ask,15.97
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,10.0
Bid Size,100.0
Closing Price,10.53
Day Change $,-0.25
Day Change %,-0.0232
Day High,10.83
Day Low,10.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.09
Ex-dividend Date,No dividend
Historical Volatility,0.533
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,923.9M
"P/E Ratio (TTM, GAAP)",118.06
Prev Close,10.78
Short Interest,0.0302
Today's Open,10.65
Volume,464369.0
Volume 10-day Avg,530773.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0714285714285714
Growth 2yr High Est,1.7599999999999998
Growth 2yr Consensus Est,0.9157142857142856
Growth 5yr Low Est,0.0714285714285714
Growth 5yr High Est,1.7599999999999998
Growth 5yr Consensus Est,0.9157142857142856
Growth 5yr Actual/Est,-1.7251110886121515
Growth 3yr Historic,-1.6261437908496732
Price/Earnings (TTM),118.0594
Price/Sales (TTM),1.34478
Price/Book (MRQ),1.59374
Price/Cash Flow (TTM),5.10247
5yr Low,2.95
5yr High,23.93
5yr Avg Return,0.12018333333333331
EPS Growth 5yr,
Revenue Growth 5yr,-0.1011702
Dividend Growth 5yr,
Short Int Current Month,1601647.0
Short Int Prev Month,2123899.0
Short Int Pct of Float,0.0301521
Days to Cover,2.11534
Float,53.09789
Shares Outstanding,87.66016
Institutions Holding Shares,186.0
FCF Growth 5yr,-6.880735239832366
"Price/Earnings (TTM, GAAP)",118.06
"PEG Ratio (TTM, GAAP)",2.47
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0346
Net Profit Margin (TTM),0.011399999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.875
EPS Growth (TTM),1.0751000000000002
Revenue Growth (MRQ),-0.013600000000000001
Revenue Growth (TTM),-0.0432
Return On Equity (TTM),0.0172
Return On Assets (TTM),0.0040999999999999995
Return On Investment (TTM),0.0047
Revenue Per Employee (TTM),468467.0
Total Debt/Total Capital (MRQ),0.5538000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-06-17 00:00:00
theStreet since,2021-10-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-17 00:00:00
cfra since,
marketEdge opinion since,
