,WOW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",118.06,15.8,Valuation,7.472151898734177
Price/Sales (TTM),1.34,2.92,Valuation,0.45890410958904115
Price/Book (MRQ),1.59,3.23,Valuation,0.49226006191950467
"PEG Ratio (TTM, GAAP)",2.47,10.23,Valuation,0.24144672531769307
Gross Profit Margin (TTM),,0.5389,Profitability,
Operating Profit Margin (TTM),0.0346,0.14,Profitability,0.2471428571428571
Net Profit Margin (TTM),0.011399999999999999,0.1103,Profitability,0.10335448776065276
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),-0.875,0.7041,Gowth rates,-1.2427212043743787
EPS Growth (TTM),1.0751000000000002,0.0154,Gowth rates,69.81168831168831
Revenue Growth (MRQ),-0.013600000000000001,0.1423,Gowth rates,-0.09557273366127898
Revenue Growth (TTM),-0.0432,0.1115,Gowth rates,-0.3874439461883408
Return On Equity (TTM),0.0172,0.1409,Effectiveness,0.12207239176721078
Return On Assets (TTM),0.0040999999999999995,0.0388,Effectiveness,0.10567010309278349
Return On Investment (TTM),0.0047,0.049800000000000004,Effectiveness,0.09437751004016064
Revenue Per Employee (TTM),468467.0,648551.0,Effectiveness,0.7223286988995469
Total Debt/Total Capital (MRQ),0.5538000000000001,0.5946,Financial strength,0.9313824419778003
Change in Debt/Total Capital Quarter over Quarter,-0.0022,0.0004,Financial strength,-5.5
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),0.94,5.53,Financial strength,0.16998191681735983
