,RDFN
% Above Low,0.7276
% Held by Institutions,0.8172
52-Wk Range,['3.08 - 42.99']
Annual Dividend $,
Annual Dividend %,
Ask,5.33
Ask Size,900.0
B/A Ratio,0.3333333333333333
B/A Size,300x900
Beta,1.8
Bid,5.32
Bid Size,300.0
Day Change $,0.0909
Day Change %,0.0174
Day High,5.54
Day Low,5.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.69
Ex-dividend Date,No dividend
Historical Volatility,0.9540000000000001
Last (size),50.0
Last (time),12:26p ET 11/28/22
Market Cap,578.5M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,5.23
Price,5.32
Short Interest,0.2016
Today's Open,5.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,1.880952380952381
Growth 1yr High Est,1.7657657657657655
Growth 1yr Consensus Est,1.8233590733590732
Growth 2yr Low Est,0.7366194411648956
Growth 2yr High Est,0.5115473779968893
Growth 2yr Consensus Est,0.6240834095808925
Growth 5yr Low Est,0.4397382920110193
Growth 5yr High Est,0.32844810760309584
Growth 5yr Consensus Est,0.38409319980705753
Growth 5yr Actual/Est,1.1725595600834449
Growth 3yr Historic,0.7827322134387352
Price/Earnings (TTM),
Price/Sales (TTM),0.23235
Price/Book (MRQ),5.29482
Price/Cash Flow (TTM),
5yr Low,3.08
5yr High,98.45
5yr Avg Return,0.20601666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.4839499
Dividend Growth 5yr,
Short Int Current Month,21161612.0
Short Int Prev Month,17366012.0
Short Int Pct of Float,0.20157879999999997
Days to Cover,2.43123
Float,105.0396
Shares Outstanding,108.7487
Institutions Holding Shares,270.0
FCF Growth 5yr,-1.607043887915523
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1457
Operating Profit Margin (TTM),-0.1103
Net Profit Margin (TTM),-0.1169
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1402
EPS Growth (TTM),-2.6954000000000002
Revenue Growth (MRQ),-0.0105
Revenue Growth (TTM),0.606
Return On Equity (TTM),-1.3592
Return On Assets (TTM),-0.1398
Return On Investment (TTM),-0.1882
Revenue Per Employee (TTM),377461.0
Total Debt/Total Capital (MRQ),0.9201
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),-19.9
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-03-01 00:00:00
theStreet since,2021-06-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
