,WDC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.85,22.87,Valuation,0.5618714473108876
Price/Sales (TTM),0.68,5.73,Valuation,0.11867364746945899
Price/Book (MRQ),0.98,44.1,Valuation,0.02222222222222222
"PEG Ratio (TTM, GAAP)",,2.57,Valuation,
Gross Profit Margin (TTM),0.3194,0.4263,Profitability,0.7492376260849167
Operating Profit Margin (TTM),0.10130000000000002,0.2867,Profitability,0.35333100802232303
Net Profit Margin (TTM),0.0525,0.23690000000000003,Profitability,0.221612494723512
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.0593,Dividend,
"Dividend Growth Rate, 3 Years",,0.0618,Dividend,
EPS Growth (MRQ),-0.9111,0.0139,Gowth rates,-65.54676258992806
EPS Growth (TTM),-0.3887,0.0891,Gowth rates,-4.362514029180696
Revenue Growth (MRQ),-0.1749,0.0784,Gowth rates,-2.2308673469387754
Revenue Growth (TTM),-0.0317,0.0893,Gowth rates,-0.35498320268756994
Return On Equity (TTM),0.0781,1.7101,Effectiveness,0.045669843868779605
Return On Assets (TTM),0.0352,0.27030000000000004,Effectiveness,0.13022567517573067
Return On Investment (TTM),0.0433,0.45,Effectiveness,0.09622222222222221
Revenue Per Employee (TTM),268892.0,2289443.0,Effectiveness,0.11744865454173788
Total Debt/Total Capital (MRQ),0.36869999999999997,0.7151000000000001,Financial strength,0.5155922248636553
Change in Debt/Total Capital Quarter over Quarter,-0.0015,-0.0004,Financial strength,3.75
Quick Ratio (MRQ),1.05,0.84,Financial strength,1.25
Interest Coverage (MRQ),2.68,317.99,Financial strength,0.008427937985471241
