,WDC
Price/Earnings (TTM),12.84592
Price/Sales (TTM),0.67863
Price/Book (MRQ),0.98076
Price/Cash Flow (TTM),6.54584
5yr Low,27.4
5yr High,106.96
5yr Avg Return,-0.04421666666666667
EPS Growth 5yr,0.28759979999999996
Revenue Growth 5yr,-0.0031625
Dividend Growth 5yr,
Short Int Current Month,8502353.0
Short Int Prev Month,6830856.0
Short Int Pct of Float,0.0268499
Days to Cover,2.00654
Float,316.7747
Shares Outstanding,317.6503
Institutions Holding Shares,841.0
% Held by Institutions,0.8403480000000001
FCF Growth 5yr,-0.40860686736488705
