,WDC
% Above Low,0.1441
% Held by Institutions,0.8403
52-Wk Range,['31.56 - 69.36']
Annual Dividend $,
Annual Dividend %,
Ask,36.17
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,35.7
Bid Size,200.0
Closing Price,36.11
Day Change $,-1.23
Day Change %,-0.0329
Day High,36.86
Day Low,35.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.91
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),45.0
Last (time),3:59p ET 11/28/22
Market Cap,11.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.85
Prev Close,37.34
Short Interest,0.0268
Today's Open,36.76
Volume,2700872.0
Volume 10-day Avg,3448103.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-1.1272040302267001
Growth 1yr High Est,-0.5822485207100592
Growth 1yr Consensus Est,-0.8547262754683796
Growth 2yr Low Est,-2.192314886400479
Growth 2yr High Est,0.24711936570729354
Growth 2yr Consensus Est,-0.9725977603465927
Growth 5yr Low Est,-0.6663629226522941
Growth 5yr High Est,0.5378678589542756
Growth 5yr Consensus Est,-0.06424753184900925
Growth 5yr Actual/Est,3.814502756575605
Growth 3yr Historic,0.32582598322729905
Price/Earnings (TTM),12.84592
Price/Sales (TTM),0.67863
Price/Book (MRQ),0.98076
Price/Cash Flow (TTM),6.54584
5yr Low,27.4
5yr High,106.96
5yr Avg Return,-0.04421666666666667
EPS Growth 5yr,0.28759979999999996
Revenue Growth 5yr,-0.0031625
Dividend Growth 5yr,
Short Int Current Month,8502353.0
Short Int Prev Month,6830856.0
Short Int Pct of Float,0.0268499
Days to Cover,2.00654
Float,316.7747
Shares Outstanding,317.6503
Institutions Holding Shares,841.0
FCF Growth 5yr,-0.40860686736488705
"Price/Earnings (TTM, GAAP)",12.85
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3194
Operating Profit Margin (TTM),0.10130000000000002
Net Profit Margin (TTM),0.0525
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9111
EPS Growth (TTM),-0.3887
Revenue Growth (MRQ),-0.1749
Revenue Growth (TTM),-0.0317
Return On Equity (TTM),0.0781
Return On Assets (TTM),0.0352
Return On Investment (TTM),0.0433
Revenue Per Employee (TTM),268892.0
Total Debt/Total Capital (MRQ),0.36869999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),2.68
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-04-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-05-28 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
