,ABBV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.26,471.78,Valuation,0.045063376997753195
Price/Sales (TTM),4.88,45.03,Valuation,0.10837219631356873
Price/Book (MRQ),17.65,12.61,Valuation,1.3996827914353687
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7116,0.5874,Profitability,1.2114402451481103
Operating Profit Margin (TTM),0.3059,-4.7459,Profitability,-0.06445563539054763
Net Profit Margin (TTM),0.2321,-4.5467,Profitability,-0.05104801284448061
Annual Dividend Yield,0.0371,0.0144,Dividend,2.576388888888889
Dividend Change %,0.1017,0.0382,Dividend,2.662303664921466
"Dividend Growth Rate, 3 Years",0.1315,0.047599999999999996,Dividend,2.762605042016807
EPS Growth (MRQ),3.3056,-0.0014000000000000002,Gowth rates,-2361.142857142857
EPS Growth (TTM),0.7868,0.027200000000000002,Gowth rates,28.926470588235293
Revenue Growth (MRQ),0.015700000000000002,1.3963999999999999,Gowth rates,0.011243196791750218
Revenue Growth (TTM),0.048,0.9747,Gowth rates,0.04924592182209911
Return On Equity (TTM),0.9032,0.1967,Effectiveness,4.591764107778342
Return On Assets (TTM),0.0925,0.0016,Effectiveness,57.8125
Return On Investment (TTM),0.1173,0.0219,Effectiveness,5.356164383561644
Revenue Per Employee (TTM),1156380.0,1476201.0,Effectiveness,0.783348609030884
Total Debt/Total Capital (MRQ),0.8128000000000001,0.4675,Financial strength,1.7386096256684493
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0036,Financial strength,-0.25
Quick Ratio (MRQ),0.83,2.06,Financial strength,0.4029126213592233
Interest Coverage (MRQ),10.47,2.69,Financial strength,3.892193308550186
