,NETI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.64,1.78,Valuation,4.2921348314606735
Price/Sales (TTM),2.21,1.04,Valuation,2.125
Price/Book (MRQ),0.52,0.9,Valuation,0.5777777777777778
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.5553,0.5485,Profitability,1.012397447584321
Operating Profit Margin (TTM),0.1313,0.3992,Profitability,0.32890781563126253
Net Profit Margin (TTM),0.35950000000000004,0.35590000000000005,Profitability,1.010115200899129
Annual Dividend Yield,0.0042,0.2386,Dividend,0.017602682313495387
Dividend Change %,-0.6570999999999999,-0.0096,Dividend,68.44791666666666
"Dividend Growth Rate, 3 Years",-0.4687,0.0273,Dividend,-17.168498168498168
EPS Growth (MRQ),-0.31010000000000004,0.9138,Gowth rates,-0.3393521558327862
EPS Growth (TTM),1.0346,2.3035,Gowth rates,0.4491426090731495
Revenue Growth (MRQ),0.1326,0.171,Gowth rates,0.775438596491228
Revenue Growth (TTM),-0.09330000000000001,0.5225,Gowth rates,-0.17856459330143543
Return On Equity (TTM),0.0998,0.4708,Effectiveness,0.21197960917587086
Return On Assets (TTM),0.0765,0.2297,Effectiveness,0.3330430996952547
Return On Investment (TTM),0.09119999999999999,0.2812,Effectiveness,0.3243243243243243
Revenue Per Employee (TTM),6343000.0,7597192.0,Effectiveness,0.8349137418140807
Total Debt/Total Capital (MRQ),0.0876,0.3566,Financial strength,0.24565339315759957
Change in Debt/Total Capital Quarter over Quarter,-0.0068000000000000005,-0.0014000000000000002,Financial strength,4.857142857142857
Quick Ratio (MRQ),,1.16,Financial strength,
Interest Coverage (MRQ),,13.82,Financial strength,
