,NETI
% Below High,0.034300000000000004
% Held by Institutions,0.3062
52-Wk Range,['4.81 - 9.81']
Annual Dividend $,0.04
Annual Dividend %,0.0042
Ask,9.85
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,8.22
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,9.47
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.24
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.595
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,9.47
Market Cap,364.1M
"P/E Ratio (TTM, GAAP)",7.64
Prev Close,9.47
Short Interest,0.0425
Today's Open,
Volume,1.0
Volume 10-day Avg,254863.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0444444444444445
Growth 2yr High Est,-0.5884955752212389
Growth 2yr Consensus Est,-0.8164700098328417
Growth 5yr Low Est,-1.0444444444444445
Growth 5yr High Est,-0.5884955752212389
Growth 5yr Consensus Est,-0.8164700098328417
Growth 5yr Actual/Est,-0.22286931698843865
Growth 3yr Historic,-3.2681074122265343
Price/Earnings (TTM),7.64369
Price/Sales (TTM),2.20769
Price/Book (MRQ),0.51935
Price/Cash Flow (TTM),4.32049
5yr Low,4.81
5yr High,84.5
5yr Avg Return,-0.18905000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.1293459
Dividend Growth 5yr,
Short Int Current Month,1056764.0
Short Int Prev Month,1071589.0
Short Int Pct of Float,0.0425162
Days to Cover,2.70638
Float,24.85557
Shares Outstanding,38.44639
Institutions Holding Shares,91.0
FCF Growth 5yr,-0.2619047619047619
"Price/Earnings (TTM, GAAP)",7.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5553
Operating Profit Margin (TTM),0.1313
Net Profit Margin (TTM),0.35950000000000004
Annual Dividend Yield,0.0042
Dividend Change %,-0.6570999999999999
"Dividend Growth Rate, 3 Years",-0.4687
EPS Growth (MRQ),-0.31010000000000004
EPS Growth (TTM),1.0346
Revenue Growth (MRQ),0.1326
Revenue Growth (TTM),-0.09330000000000001
Return On Equity (TTM),0.0998
Return On Assets (TTM),0.0765
Return On Investment (TTM),0.09119999999999999
Revenue Per Employee (TTM),6343000.0
Total Debt/Total Capital (MRQ),0.0876
Change in Debt/Total Capital Quarter over Quarter,-0.0068000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-11 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
