,NETI
Price/Earnings (TTM),7.64369
Price/Sales (TTM),2.20769
Price/Book (MRQ),0.51935
Price/Cash Flow (TTM),4.32049
5yr Low,4.81
5yr High,84.5
5yr Avg Return,-0.18905000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.1293459
Dividend Growth 5yr,
Short Int Current Month,1056764.0
Short Int Prev Month,1071589.0
Short Int Pct of Float,0.0425162
Days to Cover,2.70638
Float,24.85557
Shares Outstanding,38.44639
Institutions Holding Shares,91.0
% Held by Institutions,0.306205
FCF Growth 5yr,-0.2619047619047619
