,CDNS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",58.89,54.08,Valuation,1.0889423076923077
Price/Sales (TTM),13.36,9.39,Valuation,1.4227902023429178
Price/Book (MRQ),16.95,12.63,Valuation,1.3420427553444179
"PEG Ratio (TTM, GAAP)",3.27,1.92,Valuation,1.703125
Gross Profit Margin (TTM),0.8987,0.7206,Profitability,1.2471551484873717
Operating Profit Margin (TTM),0.3081,0.2172,Profitability,1.4185082872928176
Net Profit Margin (TTM),0.2286,0.1553,Profitability,1.4719896973599484
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.0025,-0.0752,Gowth rates,0.03324468085106383
EPS Growth (TTM),0.145,-0.2824,Gowth rates,-0.5134560906515581
Revenue Growth (MRQ),0.0525,0.15560000000000002,Gowth rates,0.33740359897172234
Revenue Growth (TTM),0.1545,0.1906,Gowth rates,0.810598111227702
Return On Equity (TTM),0.29410000000000003,0.2189,Effectiveness,1.3435358611238009
Return On Assets (TTM),0.171,0.10740000000000001,Effectiveness,1.5921787709497206
Return On Investment (TTM),0.2238,0.1387,Effectiveness,1.6135544340302812
Revenue Per Employee (TTM),369342.0,667721.0,Effectiveness,0.553138211917852
Total Debt/Total Capital (MRQ),0.22760000000000002,0.39659999999999995,Financial strength,0.573877962682804
Change in Debt/Total Capital Quarter over Quarter,0.0095,0.0004,Financial strength,23.75
Quick Ratio (MRQ),1.24,1.0,Financial strength,1.24
Interest Coverage (MRQ),47.73,0.28,Financial strength,170.4642857142857
