,CDNS
% Below High,0.1419
% Held by Institutions,0.8758
52-Wk Range,['132.32 - 194.97']
Annual Dividend $,
Annual Dividend %,
Ask,167.93
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,166.7
Bid Size,100.0
Closing Price,167.31
Day Change $,-0.2
Day Change %,-0.0012
Day High,168.35
Day Low,166.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.84
Ex-dividend Date,No dividend
Historical Volatility,0.419
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,45.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",58.89
Prev Close,167.51
Short Interest,0.0129
Today's Open,167.51
Volume,441076.0
Volume 10-day Avg,1460999.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.8502202643171808
Growth 1yr High Est,0.3140243902439024
Growth 1yr Consensus Est,0.5821223272805416
Growth 2yr Low Est,0.42987203692049514
Growth 2yr High Est,0.2173370211080301
Growth 2yr Consensus Est,0.3236045290142626
Growth 5yr Low Est,0.23508652157559307
Growth 5yr High Est,0.22061226697788067
Growth 5yr Consensus Est,0.22784939427673687
Growth 5yr Actual/Est,0.20759206809738717
Growth 3yr Historic,0.11193181818181813
Price/Earnings (TTM),58.88688
Price/Sales (TTM),13.3617
Price/Book (MRQ),16.94743
Price/Cash Flow (TTM),49.95935
5yr Low,35.49
5yr High,194.97
5yr Avg Return,0.29858333333333337
EPS Growth 5yr,0.2905002
Revenue Growth 5yr,0.1047298
Dividend Growth 5yr,
Short Int Current Month,3512801.0
Short Int Prev Month,3405639.0
Short Int Pct of Float,0.012884199999999998
Days to Cover,1.77916
Float,272.8471
Shares Outstanding,274.316
Institutions Holding Shares,1243.0
FCF Growth 5yr,0.23089577318003537
"Price/Earnings (TTM, GAAP)",58.89
"PEG Ratio (TTM, GAAP)",3.27
Gross Profit Margin (TTM),0.8987
Operating Profit Margin (TTM),0.3081
Net Profit Margin (TTM),0.2286
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0025
EPS Growth (TTM),0.145
Revenue Growth (MRQ),0.0525
Revenue Growth (TTM),0.1545
Return On Equity (TTM),0.29410000000000003
Return On Assets (TTM),0.171
Return On Investment (TTM),0.2238
Revenue Per Employee (TTM),369342.0
Total Debt/Total Capital (MRQ),0.22760000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0095
Quick Ratio (MRQ),1.24
Interest Coverage (MRQ),47.73
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-30 00:00:00
cfra since,2021-04-28 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2012-02-02 00:00:00
