,ALB
% Below High,0.1845
% Held by Institutions,0.8290000000000001
52-Wk Range,['169.93 - 334.55']
Annual Dividend $,1.58
Annual Dividend %,0.0058
Ask,271.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,271.55
Bid Size,100.0
Closing Price,272.82
Day Change $,-11.08
Day Change %,-0.039
Day High,277.68
Day Low,266.71
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",13.19
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.556
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,32.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.69
Prev Close,283.9
Short Interest,0.017
Today's Open,276.8
Volume,1341936.0
Volume 10-day Avg,1550929.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,4.141772151898734
Growth 1yr High Est,4.404306220095694
Growth 1yr Consensus Est,4.273039185997214
Growth 2yr Low Est,2.0632543674313957
Growth 2yr High Est,2.5826311976972494
Growth 2yr Consensus Est,2.3229427825643225
Growth 5yr Low Est,0.9495635354217347
Growth 5yr High Est,1.2088942504489215
Growth 5yr Consensus Est,1.079228892935328
Growth 5yr Actual/Est,1.0514520222494605
Growth 3yr Historic,-0.08432456760753551
Price/Earnings (TTM),20.6866
Price/Sales (TTM),5.71424
Price/Book (MRQ),4.74695
Price/Cash Flow (TTM),21.82727
5yr Low,48.89
5yr High,334.55
5yr Avg Return,0.1975
EPS Growth 5yr,-0.2291562
Revenue Growth 5yr,0.044478
Dividend Growth 5yr,0.052322
Short Int Current Month,1991174.0
Short Int Prev Month,2143797.0
Short Int Pct of Float,0.017024300000000003
Days to Cover,1.17735
Float,116.9633
Shares Outstanding,117.1528
Institutions Holding Shares,1305.0
FCF Growth 5yr,4.588352467081698
"Price/Earnings (TTM, GAAP)",20.69
"PEG Ratio (TTM, GAAP)",0.27
Gross Profit Margin (TTM),0.41350000000000003
Operating Profit Margin (TTM),0.2868
Net Profit Margin (TTM),0.2111
Annual Dividend Yield,0.0058
Dividend Change %,0.0213
"Dividend Growth Rate, 3 Years",0.05480000000000001
EPS Growth (MRQ),1.203
EPS Growth (TTM),5.9765
Revenue Growth (MRQ),0.41380000000000006
Revenue Growth (TTM),0.6883
Return On Equity (TTM),0.25
Return On Assets (TTM),0.0958
Return On Investment (TTM),0.11720000000000001
Revenue Per Employee (TTM),932222.0
Total Debt/Total Capital (MRQ),0.3261
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),1.08
Interest Coverage (MRQ),30.11
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-23 00:00:00
cfra since,2021-05-06 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-05 00:00:00
