,BHF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.86,19.61,Valuation,0.24783273839877615
Price/Sales (TTM),0.38,2.33,Valuation,0.1630901287553648
Price/Book (MRQ),0.67,3.82,Valuation,0.17539267015706808
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.1351,0.1298,Profitability,1.0408320493066257
Net Profit Margin (TTM),0.10099999999999999,0.10460000000000001,Profitability,0.9655831739961758
Annual Dividend Yield,,0.0168,Dividend,
Dividend Change %,,-0.0075,Dividend,
"Dividend Growth Rate, 3 Years",,0.0225,Dividend,
EPS Growth (MRQ),-1.7690000000000001,-0.0779,Gowth rates,22.70860077021823
EPS Growth (TTM),1.8013,-0.005200000000000001,Gowth rates,-346.4038461538461
Revenue Growth (MRQ),-0.6097,0.0897,Gowth rates,-6.797101449275362
Revenue Growth (TTM),0.9089,0.042800000000000005,Gowth rates,21.235981308411212
Return On Equity (TTM),0.0833,0.3775,Effectiveness,0.22066225165562914
Return On Assets (TTM),0.0043,0.031200000000000002,Effectiveness,0.1378205128205128
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),6690000.0,1261907.0,Effectiveness,5.301500031301831
Total Debt/Total Capital (MRQ),0.3493,0.4026,Financial strength,0.8676105315449577
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.002,Financial strength,0.3
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-17.13,10.79,Financial strength,-1.58758109360519
