,BHF
% Below High,0.1121
% Held by Institutions,0.8172
52-Wk Range,['38.38 - 62.33']
Annual Dividend $,
Annual Dividend %,
Ask,55.76
Ask Size,100.0
B/A Ratio,18.0
B/A Size,1800x100
Beta,1.4
Bid,54.92
Bid Size,1800.0
Closing Price,55.34
Day Change $,0.66
Day Change %,0.0121
Day High,55.5
Day Low,52.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.39
Ex-dividend Date,No dividend
Historical Volatility,0.46299999999999997
Last (size),860.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.86
Prev Close,54.68
Short Interest,0.0433
Today's Open,54.69
Volume,138775.0
Volume 10-day Avg,452046.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.859481582537517
Growth 2yr High Est,0.16666666666666674
Growth 2yr Consensus Est,0.5130741246020919
Growth 5yr Low Est,0.859481582537517
Growth 5yr High Est,0.16666666666666674
Growth 5yr Consensus Est,0.5130741246020919
Growth 5yr Actual/Est,-2.466717474114706
Growth 3yr Historic,-2.478229884167892
Price/Earnings (TTM),4.85851
Price/Sales (TTM),0.38123
Price/Book (MRQ),0.66686
Price/Cash Flow (TTM),
5yr Low,12.05
5yr High,67.55
5yr Avg Return,0.03974999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.1862856
Dividend Growth 5yr,
Short Int Current Month,2967530.0
Short Int Prev Month,2244616.0
Short Int Pct of Float,0.0433274
Days to Cover,4.04321
Float,68.49998
Shares Outstanding,69.12969
Institutions Holding Shares,511.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",4.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1351
Net Profit Margin (TTM),0.10099999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.7690000000000001
EPS Growth (TTM),1.8013
Revenue Growth (MRQ),-0.6097
Revenue Growth (TTM),0.9089
Return On Equity (TTM),0.0833
Return On Assets (TTM),0.0043
Return On Investment (TTM),
Revenue Per Employee (TTM),6690000.0
Total Debt/Total Capital (MRQ),0.3493
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),-17.13
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-20 00:00:00
ford since,2022-04-08 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-08 00:00:00
