,AXGN
% Below High,0.1816
% Held by Institutions,0.78
52-Wk Range,['6.87 - 13.66']
Annual Dividend $,
Annual Dividend %,
Ask,11.51
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.5
Bid,10.5
Bid Size,300.0
Closing Price,11.18
Day Change $,0.25
Day Change %,0.0229
Day High,11.24
Day Low,10.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.69
Ex-dividend Date,No dividend
Historical Volatility,0.703
Last (size),19.0
Last (time),12:59p ET 11/25/22
Market Cap,472.8M
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,10.93
Short Interest,0.0138
Today's Open,11.03
Volume,51251.0
Volume 10-day Avg,250855.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.045454545454545414
Growth 1yr High Est,-0.2564102564102565
Growth 1yr Consensus Est,-0.10547785547785554
Growth 2yr Low Est,0.24011857707509876
Growth 2yr High Est,-0.23165340406719714
Growth 2yr Consensus Est,0.004232586503950808
Growth 5yr Low Est,0.12005928853754938
Growth 5yr High Est,-0.11582670203359857
Growth 5yr Consensus Est,0.002116293251975404
Growth 5yr Actual/Est,0.02064821143768511
Growth 3yr Historic,-0.05670426065162906
Price/Earnings (TTM),
Price/Sales (TTM),3.52922
Price/Book (MRQ),4.65872
Price/Cash Flow (TTM),
5yr Low,6.87
5yr High,56.85
5yr Avg Return,-0.10051666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.25377890000000003
Dividend Growth 5yr,
Short Int Current Month,542515.0
Short Int Prev Month,836229.0
Short Int Pct of Float,0.013806099999999998
Days to Cover,1.55646
Float,39.38227
Shares Outstanding,42.28659
Institutions Holding Shares,168.0
FCF Growth 5yr,0.06514556916592278
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8029000000000001
Operating Profit Margin (TTM),-0.21989999999999998
Net Profit Margin (TTM),-0.2151
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4451
EPS Growth (TTM),-0.0159
Revenue Growth (MRQ),0.0727
Revenue Growth (TTM),0.044000000000000004
Return On Equity (TTM),-0.2659
Return On Assets (TTM),-0.1421
Return On Investment (TTM),-0.1607
Revenue Per Employee (TTM),312984.0
Total Debt/Total Capital (MRQ),0.3097
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),3.54
Interest Coverage (MRQ),
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford since,2022-03-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
newConstructs since,
