,AXGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),3.53,9.8,Valuation,0.360204081632653
Price/Book (MRQ),4.66,10.31,Valuation,0.451988360814743
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.8029000000000001,0.6196,Profitability,1.2958360232408006
Operating Profit Margin (TTM),-0.21989999999999998,0.047,Profitability,-4.678723404255319
Net Profit Margin (TTM),-0.2151,0.009300000000000001,Profitability,-23.129032258064516
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.4451,-0.4858,Gowth rates,-0.916220666941128
EPS Growth (TTM),-0.0159,-0.2029,Gowth rates,0.07836372597338591
Revenue Growth (MRQ),0.0727,0.1161,Gowth rates,0.6261843238587425
Revenue Growth (TTM),0.044000000000000004,0.18300000000000002,Gowth rates,0.24043715846994534
Return On Equity (TTM),-0.2659,0.1068,Effectiveness,-2.4897003745318353
Return On Assets (TTM),-0.1421,0.0622,Effectiveness,-2.284565916398714
Return On Investment (TTM),-0.1607,0.0732,Effectiveness,-2.1953551912568305
Revenue Per Employee (TTM),312984.0,403586.0,Effectiveness,0.7755075745937668
Total Debt/Total Capital (MRQ),0.3097,0.3161,Financial strength,0.9797532426447326
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0125,Financial strength,0.047999999999999994
Quick Ratio (MRQ),3.54,2.25,Financial strength,1.5733333333333333
Interest Coverage (MRQ),,14.99,Financial strength,
