,IBP
% Above Low,0.1749
% Held by Institutions,0.8205
52-Wk Range,['69.45 - 141.43']
Annual Dividend $,1.26
Annual Dividend %,0.0154
Ask,82.16
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,81.59
Day Change $,0.63
Day Change %,0.0078000000000000005
Day High,82.15
Day Low,80.29
Dividend Pay Date,2022-12-31 00:00:00
"EPS (TTM, GAAP)",6.34
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.503
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.87
Prev Close,80.96
Short Interest,0.0475
Today's Open,80.3
Volume,83930.0
Volume 10-day Avg,173772.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.5294117647058822
Growth 1yr High Est,0.6456834532374103
Growth 1yr Consensus Est,0.5875476089716463
Growth 2yr Low Est,0.1330953054298642
Growth 2yr High Est,0.3436067539411094
Growth 2yr Consensus Est,0.2383510296854868
Growth 5yr Low Est,0.22060782489031902
Growth 5yr High Est,0.3162524797711584
Growth 5yr Consensus Est,0.2684301523307387
Growth 5yr Actual/Est,0.2609423573822116
Growth 3yr Historic,0.14315128934209237
Price/Earnings (TTM),12.87142
Price/Sales (TTM),0.92717
Price/Book (MRQ),5.10106
Price/Cash Flow (TTM),8.50812
5yr Low,29.02
5yr High,141.43
5yr Avg Return,0.1454
EPS Growth 5yr,0.2665233
Revenue Growth 5yr,0.17932510000000002
Dividend Growth 5yr,
Short Int Current Month,1099555.0
Short Int Prev Month,979853.0
Short Int Pct of Float,0.047474499999999996
Days to Cover,4.63138
Float,23.17634
Shares Outstanding,28.60341
Institutions Holding Shares,296.0
FCF Growth 5yr,0.5113354052124327
"Price/Earnings (TTM, GAAP)",12.87
"PEG Ratio (TTM, GAAP)",0.74
Gross Profit Margin (TTM),0.30460000000000004
Operating Profit Margin (TTM),0.1159
Net Profit Margin (TTM),0.0731
Annual Dividend Yield,0.0154
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0286
EPS Growth (TTM),0.6018
Revenue Growth (MRQ),0.0626
Revenue Growth (TTM),0.34140000000000004
Return On Equity (TTM),0.433
Return On Assets (TTM),0.1191
Return On Investment (TTM),0.1504
Revenue Per Employee (TTM),264956.0
Total Debt/Total Capital (MRQ),0.6544
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),2.0
Interest Coverage (MRQ),8.79
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-05-28 00:00:00
researchTeam since,2022-08-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
