,IBP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.87,7.14,Valuation,1.8025210084033614
Price/Sales (TTM),0.93,7.33,Valuation,0.12687585266030013
Price/Book (MRQ),5.1,2.07,Valuation,2.463768115942029
"PEG Ratio (TTM, GAAP)",0.74,0.43,Valuation,1.7209302325581395
Gross Profit Margin (TTM),0.30460000000000004,0.3091,Profitability,0.9854416046586867
Operating Profit Margin (TTM),0.1159,0.1507,Profitability,0.7690776376907764
Net Profit Margin (TTM),0.0731,0.11320000000000001,Profitability,0.6457597173144876
Annual Dividend Yield,0.0154,0.016399999999999998,Dividend,0.9390243902439026
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),0.0286,-0.0688,Gowth rates,-0.41569767441860467
EPS Growth (TTM),0.6018,0.16670000000000001,Gowth rates,3.610077984403119
Revenue Growth (MRQ),0.0626,0.1173,Gowth rates,0.5336743393009378
Revenue Growth (TTM),0.34140000000000004,0.149,Gowth rates,2.291275167785235
Return On Equity (TTM),0.433,0.38439999999999996,Effectiveness,1.1264308012486994
Return On Assets (TTM),0.1191,0.135,Effectiveness,0.8822222222222221
Return On Investment (TTM),0.1504,0.1699,Effectiveness,0.885226603884638
Revenue Per Employee (TTM),264956.0,1633986.0,Effectiveness,0.1621531641029972
Total Debt/Total Capital (MRQ),0.6544,0.29309999999999997,Financial strength,2.2326850904128284
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,-0.0005,Financial strength,-2.8000000000000003
Quick Ratio (MRQ),2.0,0.53,Financial strength,3.773584905660377
Interest Coverage (MRQ),8.79,51.09,Financial strength,0.17204932472108042
