,ABM
Price/Earnings (TTM),14.35739
Price/Sales (TTM),0.4033
Price/Book (MRQ),1.7978
Price/Cash Flow (TTM),9.38242
5yr Low,19.79
5yr High,55.48
5yr Avg Return,0.02565
EPS Growth 5yr,0.1114856
Revenue Growth 5yr,0.0389773
Dividend Growth 5yr,0.028824100000000002
Short Int Current Month,1808362.0
Short Int Prev Month,2110323.0
Short Int Pct of Float,0.0276484
Days to Cover,7.13617
Float,65.40725
Shares Outstanding,66.15154
Institutions Holding Shares,339.0
% Held by Institutions,0.942302
FCF Growth 5yr,-0.3401090342679128
