,IMCR
% Below High,0.10880000000000001
% Held by Institutions,0.5616
52-Wk Range,['18.43 - 69.06']
Annual Dividend $,
Annual Dividend %,
Ask,74.04
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,47.55
Bid Size,200.0
Closing Price,61.54
Day Change $,-1.73
Day Change %,-0.0273
Day High,63.64
Day Low,60.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.53
Ex-dividend Date,No dividend
Historical Volatility,0.738
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,63.27
Short Interest,0.0482
Today's Open,62.38
Volume,109712.0
Volume 10-day Avg,528006.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.6755704552827944
Growth 1yr High Est,-0.914295509084676
Growth 1yr Consensus Est,-0.7949329821837352
Growth 2yr Low Est,0.07342310569193611
Growth 2yr High Est,-1.7171477545423381
Growth 2yr Consensus Est,-0.821862324425201
Growth 5yr Low Est,0.07342310569193611
Growth 5yr High Est,-1.7171477545423381
Growth 5yr Consensus Est,-0.821862324425201
Growth 5yr Actual/Est,-0.1808215815477401
Growth 3yr Historic,0.037037037037037056
Price/Earnings (TTM),
Price/Sales (TTM),34.41321
Price/Book (MRQ),13.5566
Price/Cash Flow (TTM),
5yr Low,18.43
5yr High,69.06
5yr Avg Return,0.30095000000000005
Short Int Current Month,1682774.0
Short Int Prev Month,1993291.0
Short Int Pct of Float,0.048168499999999996
Days to Cover,3.60143
Float,29.58988
Shares Outstanding,45.3037
Institutions Holding Shares,93.0
FCF Growth 5yr,-0.05578925512017955
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.809
Operating Profit Margin (TTM),-1.3768
Net Profit Margin (TTM),-1.3699000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6211
EPS Growth (TTM),0.1322
Revenue Growth (MRQ),0.424
Revenue Growth (TTM),1.3862
Return On Equity (TTM),-0.47450000000000003
Return On Assets (TTM),-0.28300000000000003
Return On Investment (TTM),-0.3467
Revenue Per Employee (TTM),250047.0
Total Debt/Total Capital (MRQ),0.2914
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),3.97
Interest Coverage (MRQ),-22.7
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-05-31 00:00:00
newConstructs since,
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
