,IMCR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),34.41,45.03,Valuation,0.7641572285143237
Price/Book (MRQ),13.56,12.61,Valuation,1.0753370340999209
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.809,0.5874,Profitability,1.3772557030983998
Operating Profit Margin (TTM),-1.3768,-4.7459,Profitability,0.2901030363050212
Net Profit Margin (TTM),-1.3699000000000001,-4.5467,Profitability,0.30129544504805683
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.6211,-0.0014000000000000002,Gowth rates,-443.64285714285705
EPS Growth (TTM),0.1322,0.027200000000000002,Gowth rates,4.860294117647059
Revenue Growth (MRQ),0.424,1.3963999999999999,Gowth rates,0.30363792609567464
Revenue Growth (TTM),1.3862,0.9747,Gowth rates,1.4221811839540373
Return On Equity (TTM),-0.47450000000000003,0.1967,Effectiveness,-2.4123029994916116
Return On Assets (TTM),-0.28300000000000003,0.0016,Effectiveness,-176.875
Return On Investment (TTM),-0.3467,0.0219,Effectiveness,-15.831050228310502
Revenue Per Employee (TTM),250047.0,1476201.0,Effectiveness,0.16938546986487613
Total Debt/Total Capital (MRQ),0.2914,0.4675,Financial strength,0.6233155080213904
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004,0.0036,Financial strength,0.7777777777777779
Quick Ratio (MRQ),3.97,2.06,Financial strength,1.9271844660194175
Interest Coverage (MRQ),-22.7,2.69,Financial strength,-8.438661710037175
