,PNW
% Below High,0.0504
% Held by Institutions,0.8956000000000001
52-Wk Range,['59.03 - 80.51']
Annual Dividend $,3.46
Annual Dividend %,0.0452
Ask,76.46
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,76.41
Bid Size,200.0
Day Change $,-0.0466
Day Change %,-0.0006
Day High,76.6
Day Low,75.7
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.24800000000000003
Last (size),1.0
Last (time),11:13a ET 11/28/22
Market Cap,8.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.4
Prev Close,76.5
Price,76.45
Short Interest,0.0181
Today's Open,76.06
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.19999999999999996
Growth 1yr High Est,-0.19324577861163228
Growth 1yr Consensus Est,-0.19662288930581612
Growth 2yr Low Est,-0.08999999999999997
Growth 2yr High Est,-0.09894847070116491
Growth 2yr Consensus Est,-0.09447423535058244
Growth 5yr Low Est,-0.023260869565217335
Growth 5yr High Est,-0.02518299823718037
Growth 5yr Consensus Est,-0.024221933901198853
Growth 5yr Actual/Est,-0.021265685152361435
Growth 3yr Historic,0.036041911501986656
Price/Earnings (TTM),17.40286
Price/Sales (TTM),2.10388
Price/Book (MRQ),1.38521
Price/Cash Flow (TTM),6.57891
5yr Low,59.03
5yr High,105.51
5yr Avg Return,-0.025483333333333334
EPS Growth 5yr,0.0544691
Revenue Growth 5yr,0.0168653
Dividend Growth 5yr,0.057122200000000005
Short Int Current Month,2035089.0
Short Int Prev Month,2546505.0
Short Int Pct of Float,0.018091
Days to Cover,2.0282
Float,112.5016
Shares Outstanding,113.1402
Institutions Holding Shares,662.0
FCF Growth 5yr,1.0146605678704326
"Price/Earnings (TTM, GAAP)",17.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1811
Net Profit Margin (TTM),0.12539999999999998
Annual Dividend Yield,0.0452
Dividend Change %,0.051100000000000007
"Dividend Growth Rate, 3 Years",0.057699999999999994
EPS Growth (MRQ),0.9844
EPS Growth (TTM),-0.0446
Revenue Growth (MRQ),0.38450000000000006
Revenue Growth (TTM),0.09820000000000001
Return On Equity (TTM),0.081
Return On Assets (TTM),0.0232
Return On Investment (TTM),0.0255
Revenue Per Employee (TTM),45208000.0
Total Debt/Total Capital (MRQ),0.552
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.77
Interest Coverage (MRQ),7.8
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-06-21 00:00:00
theStreet since,2022-08-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-28 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
